"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Found in Sample: [S1] F1: 126, Control, drugS"	"Found in Sample: [S3] F1: 127N, Sample, drugS"	"Found in Sample: [S4] F1: 127C, Sample, drugS"	"Found in Sample: [S5] F1: 128N, Sample, drugS"	"Found in Sample: [S6] F1: 128C, Sample, drugS"	"Found in Sample: [S7] F1: 129N, Sample, drugS"	"Found in Sample: [S8] F1: 129C, Sample, drugS"	"Found in Sample: [S9] F1: 130N, Sample, drugS"	"Found in Sample: [S10] F1: 130C, Sample, drugS"	"Found in Sample: [S11] F1: 131, Sample, drugS"	"Modifications"	"Area: 126, drugS"	"Area: 127N, drugS"	"Area: 127C, drugS"	"Area: 128N, drugS"	"Area: 128C, drugS"	"Area: 129N, drugS"	"Area: 129C, drugS"	"Area: 130N, drugS"	"Area: 130C, drugS"	"Area: 131, drugS"	"Abundance Ratio: (127N, drugS) / (126, drugS)"	"Abundance Ratio: (127C, drugS) / (126, drugS)"	"Abundance Ratio: (128N, drugS) / (126, drugS)"	"Abundance Ratio: (128C, drugS) / (126, drugS)"	"Abundance Ratio: (129N, drugS) / (126, drugS)"	"Abundance Ratio: (129C, drugS) / (126, drugS)"	"Abundance Ratio: (130N, drugS) / (126, drugS)"	"Abundance Ratio: (130C, drugS) / (126, drugS)"	"Abundance Ratio: (131, drugS) / (126, drugS)"	"Abundance: F1: 126, Control, drugS"	"Abundance: F1: 127N, Sample, drugS"	"Abundance: F1: 127C, Sample, drugS"	"Abundance: F1: 128N, Sample, drugS"	"Abundance: F1: 128C, Sample, drugS"	"Abundance: F1: 129N, Sample, drugS"	"Abundance: F1: 129C, Sample, drugS"	"Abundance: F1: 130N, Sample, drugS"	"Abundance: F1: 130C, Sample, drugS"	"Abundance: F1: 131, Sample, drugS"	"Abundances Count: F1: 126, Control, drugS"	"Abundances Count: F1: 127N, Sample, drugS"	"Abundances Count: F1: 127C, Sample, drugS"	"Abundances Count: F1: 128N, Sample, drugS"	"Abundances Count: F1: 128C, Sample, drugS"	"Abundances Count: F1: 129N, Sample, drugS"	"Abundances Count: F1: 129C, Sample, drugS"	"Abundances Count: F1: 130N, Sample, drugS"	"Abundances Count: F1: 130C, Sample, drugS"	"Abundances Count: F1: 131, Sample, drugS"	"emPAI"	"# Razor Peptides"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"Q14204"	"Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5"	"0"	"642.331248848564"	"28.3469651312957"	"110"	"183"	"110"	"1"	"4646"	"532.072"	"6.4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"8.4e7"	"6.8e7"	"8.6e7"	"8.5e7"	"9.0e7"	"1.0e8"	"1.1e8"	"1.0e8"	"9.7e7"	"9.9e7"	"0.853"	"1.028"	"1.036"	"1.041"	"1.169"	"1.203"	"1.241"	"1.153"	"1.022"	"22596.2"	"19284.2"	"23237.8"	"23407.3"	"23514.9"	"26408.0"	"27192.9"	"28040.6"	"26057.3"	"23100.8"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"2.44"	"0"	"727.283882379532"	"110"
"False"	"High"	"IsMasterProtein"	"Q9UPN3-5"	"Isoform 4 of Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1"	"0"	"640.207964359351"	"26.5914449309532"	"129"	"173"	"2"	"1"	"5938"	"669.721"	"5.3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"6.4e6"	"6.2e6"	"7.4e6"	"7.8e6"	"7.1e6"	"7.2e6"	"7.8e6"	"8.7e6"	"8.0e6"	"7.0e6"	"0.925"	"1.068"	"1.116"	"1.108"	"1.196"	"1.196"	"1.340"	"1.222"	"1.130"	"498.6"	"461.2"	"532.5"	"556.2"	"552.6"	"596.2"	"596.2"	"668.3"	"609.4"	"563.6"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1.571"	"0"	"693.582361459732"	"129"
"False"	"High"	"IsMasterProtein"	"O43707"	"Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2"	"0"	"626.481192353388"	"64.2151481888035"	"52"	"426"	"36"	"1"	"911"	"104.788"	"5.44"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.9e9"	"1.9e9"	"2.3e9"	"2.2e9"	"2.2e9"	"2.3e9"	"2.5e9"	"2.4e9"	"2.2e9"	"2.1e9"	"0.948"	"1.086"	"1.118"	"1.140"	"1.180"	"1.199"	"1.212"	"1.150"	"1.063"	"41894.5"	"39728.5"	"45497.0"	"46842.7"	"47768.5"	"49446.0"	"50246.6"	"50785.8"	"48197.1"	"44542.2"	"87"	"87"	"87"	"87"	"87"	"87"	"87"	"87"	"87"	"87"	"257.642"	"20"	"1495.53837656975"	"52"
"False"	"High"	"IsMasterProtein"	"P12270"	"Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3"	"0"	"598.569420182419"	"38.7642826914939"	"82"	"212"	"80"	"1"	"2363"	"267.131"	"5.02"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.5e8"	"2.5e8"	"2.6e8"	"3.0e8"	"2.6e8"	"3.1e8"	"3.1e8"	"3.0e8"	"2.7e8"	"2.6e8"	"0.932"	"1.074"	"1.085"	"1.098"	"1.145"	"1.180"	"1.178"	"1.103"	"1.008"	"26652.4"	"24834.3"	"28635.4"	"28908.4"	"29252.6"	"30523.0"	"31453.8"	"31407.7"	"29390.2"	"26856.4"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"11.776"	"2"	"822.127000808716"	"82"
"False"	"High"	"IsMasterProtein"	"Q01082"	"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2"	"0"	"581.638833941747"	"44.9661590524535"	"87"	"168"	"78"	"1"	"2364"	"274.439"	"5.57"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.9e8"	"1.7e8"	"2.0e8"	"2.0e8"	"2.1e8"	"2.1e8"	"2.2e8"	"2.6e8"	"2.0e8"	"1.8e8"	"0.936"	"1.076"	"1.101"	"1.104"	"1.187"	"1.188"	"1.214"	"1.132"	"1.041"	"18748.1"	"17546.9"	"20170.0"	"20637.5"	"20688.8"	"22260.7"	"22271.2"	"22766.6"	"21224.7"	"19516.4"	"105"	"105"	"105"	"105"	"105"	"105"	"105"	"105"	"105"	"105"	"6.419"	"9"	"648.395142793655"	"87"
"False"	"High"	"IsMasterProtein"	"P49588"	"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2"	"0"	"572.794168252154"	"53.5123966942149"	"42"	"246"	"42"	"1"	"968"	"106.743"	"5.53"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Acetyl [N-Term]"	"1.8e9"	"1.7e9"	"1.9e9"	"1.9e9"	"1.9e9"	"2.1e9"	"2.0e9"	"2.0e9"	"1.7e9"	"1.6e9"	"0.927"	"1.103"	"1.106"	"1.120"	"1.151"	"1.189"	"1.190"	"1.132"	"1.040"	"33810.8"	"31345.8"	"37291.1"	"37380.9"	"37855.7"	"38919.8"	"40201.6"	"40245.9"	"38264.7"	"35162.8"	"75"	"75"	"75"	"75"	"75"	"75"	"75"	"75"	"75"	"75"	"173.333"	"0"	"981.782316446304"	"42"
"False"	"High"	"IsMasterProtein"	"P55072"	"Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4"	"0"	"572.638572699592"	"72.8287841191067"	"46"	"231"	"46"	"1"	"806"	"89.266"	"5.26"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.6e9"	"1.6e9"	"1.8e9"	"1.8e9"	"1.7e9"	"1.9e9"	"2.0e9"	"2.1e9"	"1.9e9"	"1.8e9"	"0.956"	"1.077"	"1.130"	"1.147"	"1.194"	"1.217"	"1.246"	"1.146"	"1.080"	"25988.4"	"24839.0"	"27989.1"	"29369.7"	"29820.6"	"31043.1"	"31618.3"	"32394.4"	"29780.3"	"28079.4"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"400.945"	"0"	"952.351293802261"	"46"
"False"	"High"	"IsMasterProtein"	"P34932"	"Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4"	"0"	"558.825070317983"	"64.5238095238095"	"45"	"253"	"43"	"1"	"840"	"94.271"	"5.19"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.1e9"	"1.0e9"	"1.1e9"	"1.1e9"	"1.1e9"	"1.2e9"	"1.2e9"	"1.1e9"	"1.1e9"	"9.9e8"	"0.912"	"1.088"	"1.104"	"1.119"	"1.152"	"1.175"	"1.201"	"1.114"	"1.019"	"27850.5"	"25406.1"	"30296.2"	"30754.7"	"31175.7"	"32085.4"	"32713.5"	"33442.8"	"31038.2"	"28383.0"	"87"	"87"	"87"	"87"	"87"	"87"	"87"	"87"	"87"	"87"	"248.202"	"3"	"884.577462911606"	"45"
"False"	"High"	"IsMasterProtein"	"Q00610"	"Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5"	"0"	"557.340188906704"	"41.6119402985075"	"53"	"196"	"53"	"1"	"1675"	"191.493"	"5.69"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"4.1e8"	"3.8e8"	"5.0e8"	"4.6e8"	"4.7e8"	"4.9e8"	"5.1e8"	"5.6e8"	"4.6e8"	"4.0e8"	"0.858"	"1.056"	"1.067"	"1.092"	"1.179"	"1.219"	"1.241"	"1.155"	"1.021"	"21941.4"	"18831.3"	"23173.2"	"23405.8"	"23967.4"	"25865.0"	"26750.2"	"27222.7"	"25351.2"	"22403.5"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"20.199"	"0"	"808.775705575943"	"53"
"False"	"High"	"IsMasterProtein"	"Q7Z6Z7"	"E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3"	"0"	"549.586827949132"	"26.5660722450846"	"81"	"159"	"81"	"1"	"4374"	"481.589"	"5.22"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.2e8"	"2.5e8"	"2.6e8"	"2.7e8"	"2.7e8"	"3.1e8"	"2.8e8"	"3.0e8"	"2.8e8"	"2.4e8"	"0.958"	"1.099"	"1.123"	"1.147"	"1.189"	"1.200"	"1.214"	"1.142"	"1.046"	"16501.7"	"15810.7"	"18132.3"	"18537.1"	"18928.8"	"19616.4"	"19798.0"	"20035.3"	"18838.4"	"17257.9"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"2.844"	"0"	"620.995735406876"	"81"
"False"	"High"	"IsMasterProtein"	"P78527"	"DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3"	"0"	"546.669274360865"	"24.9031007751938"	"86"	"145"	"86"	"1"	"4128"	"468.788"	"7.12"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"9.3e7"	"7.3e7"	"9.9e7"	"9.5e7"	"1.0e8"	"1.2e8"	"1.3e8"	"1.2e8"	"1.1e8"	"9.9e7"	"0.840"	"1.041"	"1.042"	"1.048"	"1.194"	"1.224"	"1.281"	"1.179"	"1.044"	"21137.9"	"17752.9"	"22011.8"	"22018.1"	"22146.0"	"25242.5"	"25874.7"	"27084.0"	"24913.6"	"22061.7"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"2.22"	"0"	"587.508859395981"	"86"
"False"	"High"	"IsMasterProtein"	"P46940"	"Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1"	"0"	"540.196870102257"	"47.3144236572118"	"62"	"182"	"60"	"1"	"1657"	"189.134"	"6.48"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.8e8"	"2.6e8"	"3.2e8"	"2.8e8"	"2.8e8"	"3.1e8"	"3.5e8"	"3.2e8"	"3.1e8"	"2.7e8"	"0.921"	"1.097"	"1.119"	"1.104"	"1.181"	"1.196"	"1.223"	"1.133"	"1.039"	"20625.3"	"19001.6"	"22629.2"	"23088.6"	"22777.0"	"24360.0"	"24674.0"	"25228.5"	"23369.1"	"21434.2"	"81"	"81"	"81"	"81"	"81"	"81"	"81"	"81"	"81"	"81"	"19.691"	"2"	"741.063229799271"	"62"
"False"	"High"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4"	"0"	"532.653842747237"	"57.7348066298343"	"40"	"611"	"25"	"1"	"724"	"83.212"	"5.03"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"9.3e9"	"7.6e9"	"9.9e9"	"1.0e10"	"9.7e9"	"1.0e10"	"1.1e10"	"1.1e10"	"9.2e9"	"8.1e9"	"0.946"	"1.096"	"1.210"	"1.154"	"1.201"	"1.213"	"1.231"	"1.173"	"1.100"	"71450.1"	"67562.0"	"78307.7"	"86464.9"	"82428.0"	"85818.6"	"86660.5"	"87949.6"	"83815.6"	"78581.8"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"806.192"	"25"	"2349.38726854324"	"40"
"False"	"High"	"IsMasterProtein"	"P49321"	"Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2"	"0"	"532.273449258025"	"63.7055837563452"	"38"	"240"	"38"	"1"	"788"	"85.186"	"4.3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.9e9"	"2.5e9"	"3.0e9"	"3.0e9"	"3.1e9"	"3.0e9"	"3.2e9"	"3.2e9"	"2.9e9"	"2.7e9"	"0.952"	"1.080"	"1.121"	"1.132"	"1.155"	"1.187"	"1.201"	"1.121"	"1.034"	"31872.9"	"30351.7"	"34434.4"	"35717.3"	"36071.7"	"36820.5"	"37847.8"	"38270.0"	"35725.8"	"32971.4"	"70"	"70"	"70"	"70"	"70"	"70"	"70"	"70"	"70"	"70"	"358.381"	"0"	"990.856017351151"	"38"
"False"	"High"	"IsMasterProtein"	"P07900-2"	"Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1"	"0"	"527.377623293197"	"49.4145199063232"	"38"	"560"	"19"	"1"	"854"	"98.099"	"5.16"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"4.2e9"	"3.4e9"	"4.6e9"	"4.4e9"	"4.4e9"	"4.1e9"	"4.7e9"	"4.5e9"	"4.7e9"	"3.7e9"	"0.930"	"1.082"	"1.172"	"1.119"	"1.180"	"1.198"	"1.212"	"1.150"	"1.075"	"29686.9"	"27613.7"	"32117.9"	"34780.9"	"33205.5"	"35038.3"	"35554.2"	"35977.4"	"34141.0"	"31905.7"	"46"	"46"	"46"	"46"	"46"	"46"	"46"	"46"	"46"	"46"	"338.322"	"5"	"2125.59334158897"	"38"
"False"	"High"	"IsMasterProtein"	"P49327"	"Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3"	"0"	"523.35025333665"	"35.3245718837117"	"69"	"176"	"68"	"1"	"2511"	"273.254"	"6.44"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.7e8"	"2.4e8"	"2.9e8"	"2.8e8"	"2.9e8"	"3.2e8"	"3.2e8"	"3.3e8"	"3.1e8"	"2.7e8"	"0.877"	"1.044"	"1.069"	"1.066"	"1.165"	"1.197"	"1.231"	"1.151"	"1.035"	"20524.2"	"17994.7"	"21433.8"	"21942.3"	"21868.6"	"23915.5"	"24569.2"	"25262.6"	"23630.7"	"21240.7"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"7.463"	"1"	"679.793630361557"	"69"
