"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Found in Sample: [S11] F2: 126, Sample, drugX"	"Found in Sample: [S12] F2: 127N, Sample, drugX"	"Found in Sample: [S13] F2: 127C, Sample, drugX"	"Found in Sample: [S14] F2: 128N, Sample, drugX"	"Found in Sample: [S15] F2: 128C, Sample, drugX"	"Found in Sample: [S16] F2: 129N, Sample, drugX"	"Found in Sample: [S17] F2: 129C, Sample, drugX"	"Found in Sample: [S18] F2: 130N, Sample, drugX"	"Found in Sample: [S19] F2: 130C, Sample, drugX"	"Found in Sample: [S20] F2: 131, Sample, drugX"	"Modifications"	"Area: 126, drugX"	"Area: 127N, drugX"	"Area: 127C, drugX"	"Area: 128N, drugX"	"Area: 128C, drugX"	"Area: 129N, drugX"	"Area: 129C, drugX"	"Area: 130N, drugX"	"Area: 130C, drugX"	"Area: 131, drugX"	"Abundance Ratio: (127N, drugX) / (126, drugX)"	"Abundance Ratio: (127C, drugX) / (126, drugX)"	"Abundance Ratio: (128N, drugX) / (126, drugX)"	"Abundance Ratio: (128C, drugX) / (126, drugX)"	"Abundance Ratio: (129N, drugX) / (126, drugX)"	"Abundance Ratio: (129C, drugX) / (126, drugX)"	"Abundance Ratio: (130N, drugX) / (126, drugX)"	"Abundance Ratio: (130C, drugX) / (126, drugX)"	"Abundance Ratio: (131, drugX) / (126, drugX)"	"Abundance: F2: 126, Sample, drugX"	"Abundance: F2: 127N, Sample, drugX"	"Abundance: F2: 127C, Sample, drugX"	"Abundance: F2: 128N, Sample, drugX"	"Abundance: F2: 128C, Sample, drugX"	"Abundance: F2: 129N, Sample, drugX"	"Abundance: F2: 129C, Sample, drugX"	"Abundance: F2: 130N, Sample, drugX"	"Abundance: F2: 130C, Sample, drugX"	"Abundance: F2: 131, Sample, drugX"	"Abundances Count: F2: 126, Sample, drugX"	"Abundances Count: F2: 127N, Sample, drugX"	"Abundances Count: F2: 127C, Sample, drugX"	"Abundances Count: F2: 128N, Sample, drugX"	"Abundances Count: F2: 128C, Sample, drugX"	"Abundances Count: F2: 129N, Sample, drugX"	"Abundances Count: F2: 129C, Sample, drugX"	"Abundances Count: F2: 130N, Sample, drugX"	"Abundances Count: F2: 130C, Sample, drugX"	"Abundances Count: F2: 131, Sample, drugX"	"emPAI"	"# Razor Peptides"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"Q14315"	"Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3"	"0"	"735.76142314831"	"34.4220183486239"	"81"	"187"	"70"	"1"	"2725"	"290.841"	"5.97"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"6.5e8"	"4.9e8"	"5.3e8"	"5.1e8"	"5.3e8"	"5.0e8"	"5.5e8"	"5.5e8"	"4.5e8"	"3.9e8"	"0.796"	"0.919"	"0.926"	"0.912"	"0.894"	"0.911"	"0.965"	"0.729"	"0.707"	"22242.2"	"17714.3"	"20440.3"	"20598.4"	"20287.6"	"19883.9"	"20262.9"	"21460.2"	"16205.6"	"15723.0"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"5.72"	"1"	"749.450788259506"	"81"
"False"	"High"	"IsMasterProtein"	"P17987"	"T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1"	"0"	"734.57138537505"	"74.6402877697842"	"32"	"183"	"32"	"1"	"556"	"60.306"	"6.11"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.3e9"	"1.1e9"	"1.3e9"	"1.2e9"	"1.1e9"	"1.2e9"	"1.3e9"	"1.3e9"	"9.5e8"	"9.0e8"	"0.817"	"0.948"	"0.954"	"0.946"	"0.942"	"0.956"	"1.031"	"0.767"	"0.755"	"24581.4"	"20087.0"	"23309.5"	"23448.2"	"23242.4"	"23164.3"	"23510.9"	"25333.3"	"18844.1"	"18559.3"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"824.404"	"0"	"776.158262968063"	"32"
"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4"	"0"	"733.350931877045"	"41.4795918367347"	"67"	"160"	"56"	"1"	"1960"	"226.392"	"5.6"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"5.2e8"	"4.4e8"	"4.8e8"	"4.4e8"	"4.4e8"	"4.0e8"	"4.4e8"	"4.6e8"	"3.2e8"	"2.8e8"	"0.811"	"1.010"	"0.953"	"0.932"	"0.868"	"0.895"	"0.946"	"0.704"	"0.684"	"20897.0"	"16940.1"	"21113.9"	"19920.9"	"19486.4"	"18142.2"	"18696.6"	"19758.2"	"14719.6"	"14297.7"	"94"	"94"	"94"	"94"	"94"	"94"	"94"	"94"	"94"	"94"	"8.479"	"13"	"644.32995724678"	"67"
"False"	"High"	"IsMasterProtein"	"P49588"	"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2"	"0"	"720.288843299724"	"57.7479338842975"	"50"	"212"	"50"	"1"	"968"	"106.743"	"5.53"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.6e9"	"2.0e9"	"2.5e9"	"2.3e9"	"2.2e9"	"2.2e9"	"2.4e9"	"2.3e9"	"1.8e9"	"1.6e9"	"0.792"	"0.914"	"0.915"	"0.909"	"0.899"	"0.924"	"0.984"	"0.737"	"0.721"	"36905.9"	"29238.9"	"33742.6"	"33752.3"	"33538.2"	"33162.3"	"34095.8"	"36332.0"	"27192.7"	"26597.2"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"131.035"	"0"	"932.435359239578"	"50"
"False"	"High"	"IsMasterProtein"	"P07437"	"Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2"	"0"	"702.46518850428"	"68.9189189189189"	"25"	"352"	"4"	"1"	"444"	"49.639"	"4.89"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"7.4e8"	"7.8e8"	"8.6e8"	"8.0e8"	"7.7e8"	"7.7e8"	"7.7e8"	"7.4e8"	"7.1e8"	"9.1e8"	"0.865"	"1.160"	"1.187"	"1.114"	"1.075"	"1.052"	"1.116"	"0.900"	"0.943"	"4667.7"	"4039.6"	"5414.7"	"5539.0"	"5201.2"	"5019.2"	"4911.0"	"5208.0"	"4201.9"	"4401.1"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"135030.404"	"0"	"1343.82320666313"	"25"
"False"	"High"	"IsMasterProtein"	"P0DMV9"	"Heat shock 70 kDa protein 1B OS=Homo sapiens GN=HSPA1B PE=1 SV=1"	"0"	"694.783639263921"	"62.7145085803432"	"33"	"289"	"15"	"1"	"641"	"70.009"	"5.66"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.2e9"	"1.9e9"	"1.7e9"	"2.3e9"	"2.4e9"	"1.5e9"	"1.9e9"	"1.7e9"	"1.6e9"	"8.1e8"	"0.803"	"0.999"	"0.996"	"0.957"	"0.907"	"0.907"	"0.974"	"0.743"	"0.746"	"26028.7"	"20910.5"	"25998.6"	"25914.8"	"24911.6"	"23596.3"	"23599.3"	"25348.0"	"19328.4"	"19427.7"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"884.867"	"23"	"1151.63809418678"	"33"
"False"	"High"	"IsMasterProtein"	"P48643"	"T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1"	"0"	"694.440896761219"	"74.1219963031423"	"37"	"246"	"36"	"1"	"541"	"59.633"	"5.66"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"3.0e9"	"2.2e9"	"2.4e9"	"2.4e9"	"2.2e9"	"2.0e9"	"2.3e9"	"2.4e9"	"1.7e9"	"1.6e9"	"0.807"	"0.959"	"0.962"	"0.951"	"0.910"	"0.940"	"1.001"	"0.764"	"0.769"	"22733.4"	"18344.1"	"21801.7"	"21859.6"	"21608.9"	"20691.5"	"21359.2"	"22753.5"	"17377.4"	"17491.2"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"737.62"	"1"	"836.080461740494"	"37"
"False"	"High"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1"	"0"	"693.51858913985"	"71.3622291021672"	"42"	"392"	"25"	"1"	"646"	"70.854"	"5.52"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"6.6e9"	"5.5e9"	"6.6e9"	"6.4e9"	"5.4e9"	"5.7e9"	"6.5e9"	"6.4e9"	"4.7e9"	"4.6e9"	"0.786"	"0.935"	"0.981"	"0.951"	"0.917"	"0.903"	"0.973"	"0.732"	"0.752"	"52720.8"	"41447.9"	"49283.1"	"51712.1"	"50120.0"	"48341.0"	"47601.1"	"51296.3"	"38599.3"	"39657.3"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"4640.589"	"25"	"1418.60448646545"	"42"
"False"	"High"	"IsMasterProtein"	"P13796"	"Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6"	"0"	"661.40919197069"	"56.9377990430622"	"33"	"234"	"30"	"1"	"627"	"70.244"	"5.43"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.6e9"	"1.2e9"	"1.4e9"	"1.4e9"	"1.4e9"	"1.4e9"	"1.5e9"	"1.5e9"	"1.1e9"	"1.1e9"	"0.777"	"0.899"	"0.915"	"0.920"	"0.922"	"0.931"	"1.004"	"0.733"	"0.699"	"28852.8"	"22420.7"	"25947.8"	"26404.0"	"26532.4"	"26603.7"	"26857.3"	"28968.5"	"21137.8"	"20159.4"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"298.358"	"5"	"828.218376874924"	"33"
"False"	"High"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1"	"0"	"645.298470999575"	"72.8"	"25"	"496"	"11"	"1"	"375"	"41.71"	"5.48"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.5e10"	"1.2e10"	"1.4e10"	"1.3e10"	"1.1e10"	"1.2e10"	"1.3e10"	"1.3e10"	"1.1e10"	"1.0e10"	"0.842"	"0.938"	"0.929"	"0.930"	"0.900"	"0.949"	"1.005"	"0.776"	"0.728"	"53067.2"	"44660.5"	"49757.9"	"49286.1"	"49349.6"	"47766.1"	"50381.0"	"53325.5"	"41189.1"	"38639.8"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"40614.86"	"28"	"2063.50114655495"	"25"
"False"	"High"	"IsMasterProtein"	"P04406"	"Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3"	"0"	"632.260203013688"	"66.2686567164179"	"21"	"404"	"21"	"1"	"335"	"36.03"	"8.46"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.6e10"	"1.4e10"	"1.4e10"	"1.4e10"	"1.5e10"	"1.7e10"	"1.6e10"	"1.7e10"	"1.3e10"	"1.1e10"	"0.796"	"0.948"	"0.989"	"0.959"	"0.949"	"0.935"	"1.008"	"0.766"	"0.774"	"49336.7"	"39261.2"	"46764.5"	"48789.5"	"47298.6"	"46838.7"	"46151.3"	"49715.5"	"37790.6"	"38180.5"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"46414.888"	"0"	"1547.06065893173"	"21"
"False"	"High"	"IsMasterProtein"	"P13639"	"Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4"	"0"	"609.932115419257"	"60.4895104895105"	"50"	"220"	"48"	"1"	"858"	"95.277"	"6.83"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"4.8e9"	"3.7e9"	"4.5e9"	"4.4e9"	"3.8e9"	"4.5e9"	"4.5e9"	"4.4e9"	"3.3e9"	"3.4e9"	"0.847"	"1.008"	"1.041"	"1.022"	"0.993"	"0.995"	"1.061"	"0.853"	"0.845"	"25336.8"	"21472.8"	"25541.7"	"26384.0"	"25896.6"	"25152.3"	"25219.0"	"26877.7"	"21613.6"	"21397.9"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"139.653"	"2"	"876.930558919907"	"50"
"False"	"High"	"IsMasterProtein"	"P78371"	"T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4"	"0"	"598.751061339961"	"65.4205607476635"	"31"	"158"	"31"	"1"	"535"	"57.452"	"6.46"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.3e9"	"1.7e9"	"2.0e9"	"1.8e9"	"1.8e9"	"1.8e9"	"2.0e9"	"2.0e9"	"1.5e9"	"1.3e9"	"0.791"	"0.903"	"0.914"	"0.906"	"0.888"	"0.907"	"0.971"	"0.732"	"0.720"	"21819.5"	"17269.6"	"19708.6"	"19948.8"	"19757.9"	"19380.8"	"19779.8"	"21187.8"	"15965.0"	"15712.8"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"155.475"	"0"	"726.55545258522"	"31"
"False"	"High"	"IsMasterProtein"	"P46821"	"Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2"	"0"	"586.279009518684"	"30.7536466774716"	"55"	"102"	"54"	"1"	"2468"	"270.468"	"4.81"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"4.8e8"	"3.5e8"	"4.2e8"	"3.9e8"	"3.9e8"	"3.8e8"	"4.3e8"	"4.4e8"	"3.2e8"	"3.2e8"	"0.799"	"0.875"	"0.874"	"0.870"	"0.867"	"0.915"	"0.966"	"0.702"	"0.680"	"19298.5"	"15411.7"	"16890.4"	"16868.6"	"16795.5"	"16739.1"	"17661.4"	"18650.2"	"13551.3"	"13122.8"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"4.466"	"1"	"463.928738355637"	"55"
"False"	"High"	"IsMasterProtein"	"O43707"	"Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2"	"0"	"581.543813372455"	"59.4950603732162"	"49"	"197"	"35"	"1"	"911"	"104.788"	"5.44"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.8e9"	"1.9e9"	"2.1e9"	"2.3e9"	"2.1e9"	"2.1e9"	"2.3e9"	"2.6e9"	"1.9e9"	"1.6e9"	"0.793"	"0.879"	"0.873"	"0.881"	"0.865"	"0.914"	"0.965"	"0.732"	"0.698"	"27390.3"	"21719.0"	"24077.6"	"23904.1"	"24134.3"	"23690.8"	"25030.7"	"26425.1"	"20048.4"	"19112.4"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"61.18"	"20"	"710.629958152771"	"49"
"False"	"High"	"IsMasterProtein"	"P38646"	"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2"	"0"	"577.81834699746"	"57.7319587628866"	"38"	"219"	"37"	"1"	"679"	"73.635"	"6.16"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"6.8e9"	"5.3e9"	"5.9e9"	"6.3e9"	"6.2e9"	"5.9e9"	"6.4e9"	"6.9e9"	"4.9e9"	"4.6e9"	"0.753"	"0.876"	"0.899"	"0.885"	"0.863"	"0.872"	"0.945"	"0.685"	"0.681"	"29223.6"	"22000.2"	"25594.3"	"26283.5"	"25866.8"	"25215.5"	"25468.4"	"27628.4"	"20032.0"	"19915.4"	"58"	"58"	"58"	"58"	"58"	"58"	"58"	"58"	"58"	"58"	"176.828"	"0"	"868.752089262009"	"38"
