Checked	Master	Accession	Description	Coverage	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Modifications	Entrez Gene ID	Ensembl Gene ID	Gene ID	Chromosome	Biological Process	Cellular Component	Molecular Function	Pfam IDs	"Abundance Ratio: (127N, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (127C, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (128N, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (128C, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (129N, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (129C, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (130N, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (130C, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (131, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance: F1: 126, Sample, Treatmentrep1"	"Abundance: F1: 127N, Sample, Treatmentrep1"	"Abundance: F1: 127C, Sample, Treatmentrep1"	"Abundance: F1: 128N, Sample, Treatmentrep1"	"Abundance: F1: 128C, Sample, Treatmentrep1"	"Abundance: F1: 129N, Sample, Treatmentrep1"	"Abundance: F1: 129C, Sample, Treatmentrep1"	"Abundance: F1: 130N, Sample, Treatmentrep1"	"Abundance: F1: 130C, Sample, Treatmentrep1"	"Abundance: F1: 131, Sample, Treatmentrep1"	"Abundances Count: F1: 126, Sample, Treatmentrep1"	"Abundances Count: F1: 127N, Sample, Treatmentrep1"	"Abundances Count: F1: 127C, Sample, Treatmentrep1"	"Abundances Count: F1: 128N, Sample, Treatmentrep1"	"Abundances Count: F1: 128C, Sample, Treatmentrep1"	"Abundances Count: F1: 129N, Sample, Treatmentrep1"	"Abundances Count: F1: 129C, Sample, Treatmentrep1"	"Abundances Count: F1: 130N, Sample, Treatmentrep1"	"Abundances Count: F1: 130C, Sample, Treatmentrep1"	"Abundances Count: F1: 131, Sample, Treatmentrep1"	emPAI	# Razor Peptides	Score Sequest HT	# Peptides Sequest HT	Score Mascot	# Peptides Mascot
FALSE	IsMasterProtein	P00747	Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2	1.728395062	2	5	2	1	810	90.51	7.24		5340	ENSG00000122194	PLG	6	cell differentiation;cell organization and biogenesis;cellular component movement;cellular homeostasis;coagulation;metabolic process;regulation of biological process;transport	cell surface;extracellular;membrane;organelle lumen	catalytic activity;metal ion binding;protein binding	"Pf00024, Pf00051, Pf00089, Pf09342, Pf13365"	0.893	0.908	0.695	0.59	0.449	0.421	0.375	0.396	0.332	1807.3	1614.3	1641.7	1256.3	1066.3	811.1	760.5	677.8	716.5	599.5	2	2	2	2	2	2	2	2	2	2	0.099	0	7.267907739	2	48.98	1
FALSE	IsMasterProtein	P00813	Adenosine deaminase OS=Homo sapiens GN=ADA PE=1 SV=3	34.43526171	14	38	14	1	363	40.739	5.95		100	ENSG00000196839	ADA	20	cell differentiation;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytosol;membrane;organelle lumen;vacuole	catalytic activity;metal ion binding;protein binding	Pf00962	0.959	1.037	1.019	0.923	0.753	0.77	0.608	0.483	0.281	3736.2	3583.4	3872.6	3805.9	3449.7	2812.5	2875.7	2270.8	1806.2	1049.3	11	11	11	11	11	11	11	11	11	11	3.062	0	82.83232117	14	422.8944444	14
FALSE	IsMasterProtein	P00915	Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2	12.64367816	3	7	3	1	261	28.852	7.12		759	ENSG00000133742	CA1	8	metabolic process;transport	cytoplasm;cytosol	catalytic activity;metal ion binding;protein binding	Pf00194	0.992	1.013	0.98	0.852	0.726	0.563	0.262	0.141	0.11	763.6	757.6	773.3	748.5	650.6	554.2	429.9	199.8	107.6	84.2	3	3	3	3	3	3	3	3	3	3	0.585	0	11.92781126	3	37.76	3
FALSE	IsMasterProtein	P00966	Argininosuccinate synthase OS=Homo sapiens GN=ASS1 PE=1 SV=2	5.825242718	3	5	3	1	412	46.501	8.02		445	ENSG00000130707	ASS1	9	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;endoplasmic reticulum;membrane;nucleus;vacuole	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00764, Pf03054, Pf06508"	1.064	1.014	0.914	0.389	0.257	0.143	0.093	0.073	0.05	825.5	878.7	837.1	754.5	321	212.3	118	76.8	59.9	40.9	2	2	2	2	2	2	2	2	2	2	0.304	0	6.626332879	3	20.32	2
FALSE	IsMasterProtein	P01008	Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1	5.818965517	3	5	3	1	464	52.569	6.71		462	ENSG00000117601	SERPINC1	1	coagulation;regulation of biological process;response to stimulus	extracellular;membrane	enzyme regulator activity;protein binding	Pf00079	0.895	1.073	0.939	0.762	0.528	0.376	0.242	0.133	0.085	245.8	219.9	263.7	230.7	187.4	129.9	92.5	59.4	32.7	21	1	1	1	1	1	1	1	1	1	1	0.259	0	6.858123541	3	31.85	2
FALSE	IsMasterProtein	P01023	Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3	3.527815468	6	11	6	1	1474	163.188	6.46		2	ENSG00000175899	A2M	12	cell differentiation;cell organization and biogenesis;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;extracellular;organelle lumen	enzyme regulator activity;protein binding	"Pf00207, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974, Pf13249"	0.928	1.008	0.991	0.917	0.708	0.69	0.464	0.304	0.139	431.9	401	435.5	427.9	396.1	305.7	298	200.4	131.2	59.9	2	2	2	2	2	2	2	2	2	2	0.184	0	19.59048533	6	73.43284061	5
FALSE	IsMasterProtein	P01024	Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2	1.443174985	3	5	3	1	1663	187.03	6.4		718	ENSG00000125730	C3	19	coagulation;defense response;metabolic process;regulation of biological process;response to stimulus	extracellular;membrane	enzyme regulator activity;protein binding	"Pf00207, Pf01759, Pf01821, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974"	0.968	1.051	0.964	0.848	0.648	0.437	0.27	0.219	0.172	1118.2	1082	1175.5	1077.4	948.2	724.1	488.8	302.4	245	192.2	3	3	3	3	3	3	3	3	3	3	0.065	0	9.121281147	3	44.62	2
FALSE	IsMasterProtein	P01033	Metalloproteinase inhibitor 1 OS=Homo sapiens GN=TIMP1 PE=1 SV=1	7.729468599	2	4	2	1	207	23.156	8.1		7076	ENSG00000102265	TIMP1	X	cell organization and biogenesis;coagulation;regulation of biological process;response to stimulus;transport	extracellular;organelle lumen	enzyme regulator activity;metal ion binding;protein binding	Pf00965	0.826	0.64	0.549	0.381	0.416	0.201	0.172	0.127	0.157	687.5	568	440.2	377.1	262.1	286.2	138.1	118	87.3	108.1	2	2	2	2	2	2	2	2	2	2	0.52	0	6.03425312	2	38.50442459	2
FALSE	IsMasterProtein	P01034	Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1	40.4109589	5	19	4	1	146	15.789	8.75		1471	ENSG00000101439	CST3	20	cell death;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	endoplasmic reticulum;endosome;extracellular;membrane;vacuole	enzyme regulator activity;protein binding	Pf00031	0.933	0.973	0.873	0.811	0.686	0.636	0.545	0.489	0.371	1198.5	1117.9	1165.9	1046.7	972.5	821.7	762.8	652.7	586.5	444.5	4	4	4	4	4	4	4	4	4	4	2.981	0	35.97946715	5	278.035	4
FALSE	IsMasterProtein	P01040	Cystatin-A OS=Homo sapiens GN=CSTA PE=1 SV=1	7.142857143	1	2	1	1	98	11	5.5		1475	ENSG00000121552	CSTA	3	cell differentiation;metabolic process;regulation of biological process	cytoplasm;cytoskeleton;nucleus	enzyme regulator activity;protein binding;structural molecule activity	Pf00031	0.954	1.123	0.813	0.814	0.566	0.576	0.356	0.343	0.256	373.1	355.8	419.1	303.3	303.7	211.1	214.8	132.8	128	95.6	1	1	1	1	1	1	1	1	1	1	0.389	0	2.740209341	1	20.89	1
FALSE	IsMasterProtein	P01042	Kininogen-1 OS=Homo sapiens GN=KNG1 PE=1 SV=2	0.931677019	1	2	1	1	644	71.912	6.81		3827	ENSG00000113889	KNG1	3	cellular homeostasis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;extracellular;membrane;organelle lumen	enzyme regulator activity;metal ion binding;protein binding	Pf00031	1.02	1.025	0.999	0.867	0.609	0.548	0.399	0.313	0.274	895.7	913.9	918.5	894.6	776.5	545.2	490.5	357.2	280.1	245.8	1	1	1	1	1	1	1	1	1	1	0.061	0	3.88215971	1		
FALSE	IsMasterProtein	P01106-2	Isoform 2 of Myc proto-oncogene protein OS=Homo sapiens GN=MYC	1.982378855	1	4	1	1	454	50.534	5.43		4609		MYC	8	cell death;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;nucleus	DNA binding;protein binding	"Pf00010, Pf01056, Pf02344"	0.819	0.809	1.71	0.55	0.49	0.39	0.29	0.287	0.355	266.3	218.1	215.5	455.5	146.4	130.5	103.9	77.3	76.5	94.5	1	1	1	1	1	1	1	1	1	1	0.136	0	4.342875242	1	47.88	1
FALSE	IsMasterProtein	P01111	GTPase NRas OS=Homo sapiens GN=NRAS PE=1 SV=1	34.39153439	5	9	5	1	189	21.216	5.17		4893	ENSG00000213281	NRAS	1	cell differentiation;cell organization and biogenesis;cellular component movement;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	Golgi;membrane	catalytic activity;nucleotide binding;protein binding;transporter activity	"Pf00009, Pf00071, Pf02421, Pf08477"	1.028	0.984	0.932	0.831	0.724	0.465	0.315	0.175	0.16	470.4	483.7	462.8	438.6	390.8	340.6	218.8	148.2	82.5	75.4	2	2	2	2	2	2	2	2	2	2	1.848	0	15.08231258	5	110.4	4
FALSE	IsMasterProtein	P01137	Transforming growth factor beta-1 OS=Homo sapiens GN=TGFB1 PE=1 SV=2	38.71794872	13	31	13	1	390	44.313	8.53		7040		TGFB1	19	cell death;cell differentiation;cell growth;cell organization and biogenesis;cell proliferation;cellular component movement;cellular homeostasis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;extracellular;membrane;nucleus;organelle lumen	protein binding	"Pf00019, Pf00688"	1.028	1.069	1.117	0.843	0.523	0.388	0.207	0.124	0.079	2644.8	2718.4	2827.6	2954.3	2229	1382.2	1026.2	547.6	327.9	208.3	9	9	9	9	9	9	9	9	9	9	3.062	0	54.53891313	13	375.8971429	12
FALSE	IsMasterProtein	P01768	Ig heavy chain V-III region CAM OS=Homo sapiens PE=1 SV=1	13.1147541	1	1	1	1	122	13.659	9.63						defense response;metabolic process;regulation of biological process;response to stimulus	extracellular;membrane	protein binding																															0.334	0	0	1		
FALSE	IsMasterProtein	P02008	Hemoglobin subunit zeta OS=Homo sapiens GN=HBZ PE=1 SV=2	89.43661972	11	382	10	1	142	15.627	8.21		3050	ENSG00000130656	HBZ	16	regulation of biological process;transport		metal ion binding;protein binding;transporter activity	Pf00042	1.009	1.074	1.013	0.914	0.778	0.706	0.534	0.388	0.203	32867.1	33165.1	35314.8	33298	30027.2	25558.5	23197.6	17544.3	12755	6667.5	15	15	15	15	15	15	15	15	15	15	52.367	2	794.2136679	11	4455.75313	11
FALSE	IsMasterProtein	P02042	Hemoglobin subunit delta OS=Homo sapiens GN=HBD PE=1 SV=2	42.85714286	5	31	4	1	147	16.045	8.05		3045	ENSG00000223609	HBD	11	coagulation;transport	cytosol	metal ion binding;protein binding;transporter activity	Pf00042	1.062	1.143	1.133	1.07	0.91	0.849	0.755	0.603	0.425	1178.8	1251.4	1347	1335.3	1260.9	1072.8	1000.4	890.4	710.5	501.5	4	4	4	4	4	4	4	4	4	4	2.511	0	57.86557817	5	347.6684615	5
FALSE	IsMasterProtein	P02100	Hemoglobin subunit epsilon OS=Homo sapiens GN=HBE1 PE=1 SV=2	74.82993197	10	209	8	1	147	16.192	8.63		3046	ENSG00000213931	HBE1	11	cell organization and biogenesis;coagulation;regulation of biological process;transport	cytosol	metal ion binding;protein binding;transporter activity	Pf00042	0.989	1.028	0.947	0.829	0.676	0.581	0.417	0.269	0.138	13873.8	13724.6	14258.3	13143.1	11505.2	9384.1	8056.3	5787.7	3733.7	1919.8	13	13	13	13	13	13	13	13	13	13	37.312	0	369.6608276	9	2372.580576	10
FALSE	IsMasterProtein	P02452	Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5	3.346994536	5	10	5	1	1464	138.857	5.8		1277	ENSG00000108821	COL1A1	17	cell communication;cell differentiation;cell organization and biogenesis;cellular component movement;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;extracellular;Golgi;organelle lumen	metal ion binding;protein binding;structural molecule activity	"Pf00093, Pf01391, Pf01410"	0.941	1.069	1.049	0.953	0.762	0.7	0.542	0.558	0.423	783.7	737.4	838.1	822.2	747.1	597.2	548.7	424.4	437.5	331.4	4	4	4	4	4	4	4	4	4	4	0.136	0	12.55425739	5	71.31	5
FALSE	IsMasterProtein	P02458	Collagen alpha-1(II) chain OS=Homo sapiens GN=COL2A1 PE=1 SV=3	1.210490921	1	2	1	1	1487	141.699	6.92		1280	ENSG00000139219	COL2A1	12	cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus	cytoplasm;extracellular;organelle lumen	metal ion binding;protein binding;structural molecule activity	"Pf00093, Pf01391, Pf01410"	1.003	1.444	1.525	1.602	1.451	1.614	1.431	1.633	1.357	156.1	156.6	225.4	238	250	226.5	251.9	223.4	254.9	211.9	1	1	1	1	1	1	1	1	1	1	0.026	0	4.265822887	1	24.74	1
FALSE	IsMasterProtein	P02545	Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1	45.18072289	31	76	30	1	664	74.095	7.02		4000	ENSG00000160789	LMNA	1	cell death;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;nucleus	protein binding;structural molecule activity	"Pf00038, Pf00932"	0.973	1.011	0.934	0.757	0.448	0.233	0.121	0.09	0.077	8967.4	8723.3	9063.2	8379.6	6792.8	4018	2088.7	1081.3	808.3	694.9	22	22	22	22	22	22	22	22	22	22	4.696	1	144.1854144	31	1021.235076	30
FALSE	IsMasterProtein	P02549	"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens GN=SPTA1 PE=1 SV=5"	23.64613477	46	92	45	1	2419	279.842	5.05		6708	ENSG00000163554	SPTA1	1	cell organization and biogenesis;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane	metal ion binding;protein binding;structural molecule activity	"Pf00018, Pf00435, Pf07653, Pf08726, Pf14604"	0.872	0.677	0.374	0.19	0.151	0.085	0.058	0.041	0.035	22243.4	19395.3	15065	8326.8	4233.8	3354.6	1883.7	1283.2	905.9	782.8	38	38	38	38	38	38	38	38	38	38	0.874	0	179.338199	46	843.3295312	38
FALSE	IsMasterProtein	P02647	Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1	8.239700375	2	4	1	1	267	30.759	5.76		335	ENSG00000118137	APOA1	11	cell organization and biogenesis;cell proliferation;cellular component movement;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytosol;endosome;extracellular;membrane;nucleus;organelle lumen	enzyme regulator activity;protein binding;transporter activity	Pf01442	1.056	1.069	0.936	0.796	0.6	0.484	0.371	0.31	0.293	428	451.8	457.5	400.8	340.6	256.7	207	158.8	132.5	125.2	1	1	1	1	1	1	1	1	1	1	0.245	0	11.31440926	2	62.33	1
