Checked	Master	Accession	Description	Coverage	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Modifications	Entrez Gene ID	Ensembl Gene ID	Gene ID	Chromosome	Biological Process	Cellular Component	Molecular Function	Pfam IDs	"Abundance Ratio: (127N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (127C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (128N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (128C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (129N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (129C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (130N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (130C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (131, Ctrl) / (126, Ctrl)"	"Abundance: F1: 126, Sample, Ctrl"	"Abundance: F1: 127N, Sample, Ctrl"	"Abundance: F1: 127C, Sample, Ctrl"	"Abundance: F1: 128N, Sample, Ctrl"	"Abundance: F1: 128C, Sample, Ctrl"	"Abundance: F1: 129N, Sample, Ctrl"	"Abundance: F1: 129C, Sample, Ctrl"	"Abundance: F1: 130N, Sample, Ctrl"	"Abundance: F1: 130C, Sample, Ctrl"	"Abundance: F1: 131, Sample, Ctrl"	"Abundances Count: F1: 126, Sample, Ctrl"	"Abundances Count: F1: 127N, Sample, Ctrl"	"Abundances Count: F1: 127C, Sample, Ctrl"	"Abundances Count: F1: 128N, Sample, Ctrl"	"Abundances Count: F1: 128C, Sample, Ctrl"	"Abundances Count: F1: 129N, Sample, Ctrl"	"Abundances Count: F1: 129C, Sample, Ctrl"	"Abundances Count: F1: 130N, Sample, Ctrl"	"Abundances Count: F1: 130C, Sample, Ctrl"	"Abundances Count: F1: 131, Sample, Ctrl"	emPAI	# Razor Peptides	Score Sequest HT	# Peptides Sequest HT	Score Mascot	# Peptides Mascot
FALSE	IsMasterProtein	P00492	Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2	61.9266055	10	77	9	1	218	24.564	6.68		3251	ENSG00000165704	HPRT1	X	cell differentiation;cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol	catalytic activity;metal ion binding;nucleotide binding;protein binding	"Pf00156, Pf15610"	0.971	1.021	0.888	0.795	0.637	0.597	0.556	0.547	0.492	7933	7700.1	8099.6	7042.4	6308.6	5051.7	4738.3	4410.6	4338.3	3901.9	14	14	14	14	14	14	14	14	14	14	13.251	1	150.8933113	10	909.6928696	10
FALSE	IsMasterProtein	P00505	"Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=3"	42.3255814	21	219	21	1	430	47.487	9.01		2806	ENSG00000125166	GOT2	16	metabolic process;response to stimulus;transport	cell surface;membrane;mitochondrion;organelle lumen	catalytic activity;protein binding;RNA binding	Pf00155	0.991	1.028	0.938	0.828	0.622	0.642	0.608	0.585	0.596	27037.1	26780.3	27806.7	25358.1	22374.7	16820.8	17367.8	16427.9	15823.6	16126.7	29	29	29	29	29	29	29	29	29	29	12.738	0	398.5700699	21	2418.798804	19
FALSE	IsMasterProtein	P00519-2	Isoform IB of Tyrosine-protein kinase ABL1 OS=Homo sapiens GN=ABL1	8.964316797	10	19	8	1	1149	124.877	8.84		25	ENSG00000097007	ABL1	9	cell differentiation;cell organization and biogenesis;cellular component movement;cellular homeostasis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane;mitochondrion;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding	"Pf00017, Pf00018, Pf00069, Pf07653, Pf07714, Pf08919, Pf14604"	0.833	0.688	0.509	0.34	0.208	0.14	0.106	0.097	0.087	4376.9	3644	3011.4	2228	1488.9	912.1	613.6	466	425.4	381.8	9	9	9	9	9	9	9	9	9	9	0.396	2	37.62119412	10	227.8041722	9
FALSE	IsMasterProtein	P00558	Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3	73.14148681	27	690	21	1	417	44.586	8.1		5230	ENSG00000102144	PGK1	X	cell differentiation;metabolic process	cytoplasm;cytosol;membrane	catalytic activity;nucleotide binding;protein binding	Pf00162	0.99	1.041	0.928	0.814	0.348	0.126	0.072	0.049	0.038	86649.5	85822.7	90203.5	80453.3	70546.7	30139.8	10939.6	6214.3	4237.1	3331	51	51	51	51	51	51	51	51	51	51	99	9	1368.630894	27	8555.299182	23
FALSE	IsMasterProtein	P00747	Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2	0.987654321	1	2	1	1	810	90.51	7.24		5340	ENSG00000122194	PLG	6	cell differentiation;cell organization and biogenesis;cellular component movement;cellular homeostasis;coagulation;metabolic process;regulation of biological process;transport	cell surface;extracellular;membrane;organelle lumen	catalytic activity;metal ion binding;protein binding	"Pf00024, Pf00051, Pf00089, Pf09342, Pf13365"	0.93	0.917	0.676	0.538	0.373	0.311	0.375	0.383	0.411	731	679.7	670.2	494.5	393.4	272.5	227.6	274.4	279.9	300.8	1	1	1	1	1	1	1	1	1	1	0.048	0	3.010634184	1	35.95	1
FALSE	IsMasterProtein	P00813	Adenosine deaminase OS=Homo sapiens GN=ADA PE=1 SV=3	37.46556474	14	31	14	1	363	40.739	5.95		100	ENSG00000196839	ADA	20	cell differentiation;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytosol;membrane;organelle lumen;vacuole	catalytic activity;metal ion binding;protein binding	Pf00962	0.916	0.969	0.847	0.753	0.555	0.551	0.424	0.322	0.195	3487.6	3194	3377.8	2952.4	2624.9	1934.8	1922.7	1479.7	1123.4	678.9	10	10	10	10	10	10	10	10	10	10	2.675	0	63.41927934	14	264.7100757	12
FALSE	IsMasterProtein	P00915	Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2	6.130268199	1	3	1	1	261	28.852	7.12		759	ENSG00000133742	CA1	8	metabolic process;transport	cytoplasm;cytosol	catalytic activity;metal ion binding;protein binding	Pf00194	0.978	1.07	0.971	0.841	0.652	0.466	0.147	0.1	0.065	178.5	174.6	191	173.3	150.1	116.4	83.2	26.2	17.8	11.6	1	1	1	1	1	1	1	1	1	1	0.166	0	4.381100655	1	30.05	1
FALSE	IsMasterProtein	P00966	Argininosuccinate synthase OS=Homo sapiens GN=ASS1 PE=1 SV=2	1.45631068	1	1	1	1	412	46.501	8.02		445	ENSG00000130707	ASS1	9	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;endoplasmic reticulum;membrane;nucleus;vacuole	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00764, Pf03054, Pf06508"	1.098	1.123	0.774	0.277	0.138	0.089	0.027	0.015	0.01	809.6	888.7	909	627	224.1	111.8	72.1	22.2	12.4	8	1	1	1	1	1	1	1	1	1	1	0.093	0	1.957299709	1		
FALSE	IsMasterProtein	P01008	Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1	1.939655172	1	2	1	1	464	52.569	6.71		462	ENSG00000117601	SERPINC1	1	coagulation;regulation of biological process;response to stimulus	extracellular;membrane	enzyme regulator activity;protein binding	Pf00079	0.85	0.904	0.766	0.64	0.373	0.296	0.124	0.075	0.043	211.8	180.1	191.5	162.3	135.6	79.1	62.7	26.2	15.8	9.2	1	1	1	1	1	1	1	1	1	1	0.08	0	2.614707708	1	29.16	1
FALSE	IsMasterProtein	P01023	Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3	1.763907734	3	6	3	1	1474	163.188	6.46		2	ENSG00000175899	A2M	12	cell differentiation;cell organization and biogenesis;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;extracellular;organelle lumen	enzyme regulator activity;protein binding	"Pf00207, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974, Pf13249"	0.899	0.917	0.666	0.603	0.318	0.32	0.173	0.114	0.022	404.4	363.4	370.9	269.2	243.9	128.5	129.3	70	46.3	8.7	1	1	1	1	1	1	1	1	1	1	0.088	0	9.343260288	3	57.01333333	3
FALSE	IsMasterProtein	P01024	Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2	1.262778112	3	5	3	1	1663	187.03	6.4		718	ENSG00000125730	C3	19	coagulation;defense response;metabolic process;regulation of biological process;response to stimulus	extracellular;membrane	enzyme regulator activity;protein binding	"Pf00207, Pf01759, Pf01821, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974"	0.961	0.969	0.878	0.773	0.568	0.355	0.228	0.199	0.153	870.2	836.3	842.9	763.7	672.3	494.7	308.7	198.2	173	133.2	2	2	2	2	2	2	2	2	2	2	0.065	0	7.332940102	3	28.23	2
FALSE	IsMasterProtein	P01034	Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1	40.4109589	5	19	4	1	146	15.789	8.75		1471	ENSG00000101439	CST3	20	cell death;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	endoplasmic reticulum;endosome;extracellular;membrane;vacuole	enzyme regulator activity;protein binding	Pf00031	0.999	1.026	0.973	0.869	0.72	0.625	0.529	0.44	0.378	886.2	885.4	909.4	862.7	770.1	638.4	553.5	468.4	390.1	334.6	4	4	4	4	4	4	4	4	4	4	4.012	0	30.61547208	5	280.1677778	4
FALSE	IsMasterProtein	P01040	Cystatin-A OS=Homo sapiens GN=CSTA PE=1 SV=1	18.36734694	1	2	1	1	98	11	5.5		1475	ENSG00000121552	CSTA	3	cell differentiation;metabolic process;regulation of biological process	cytoplasm;cytoskeleton;nucleus	enzyme regulator activity;protein binding;structural molecule activity	Pf00031	1.113	1.187	1.133	1.033	1.029	0.968	0.891	0.893	0.713	183.9	204.6	218.3	208.3	190	189.2	178	163.9	164.2	131.2	1	1	1	1	1	1	1	1	1	1	0.389	0	5.895079613	1	74.72	1
FALSE	IsMasterProtein	P01042	Kininogen-1 OS=Homo sapiens GN=KNG1 PE=1 SV=2	0.931677019	1	1	1	1	644	71.912	6.81		3827	ENSG00000113889	KNG1	3	cellular homeostasis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;extracellular;membrane;organelle lumen	enzyme regulator activity;metal ion binding;protein binding	Pf00031	0.915	1.095	0.865	0.796	0.484	0.43	0.294	0.221	0.171	466.6	426.9	510.8	403.6	371.3	225.9	200.7	137	103.2	79.6	1	1	1	1	1	1	1	1	1	1	0.061	0	2.289962292	1		
FALSE	IsMasterProtein	P01106-2	Isoform 2 of Myc proto-oncogene protein OS=Homo sapiens GN=MYC	1.982378855	1	2	1	1	454	50.534	5.43		4609		MYC	8	cell death;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;nucleus	DNA binding;protein binding	"Pf00010, Pf01056, Pf02344"	0.892	0.742	1.689	0.563	0.441	0.349	0.248	0.265	0.321	182.6	162.8	135.5	308.5	102.8	80.5	63.7	45.3	48.3	58.7	1	1	1	1	1	1	1	1	1	1	0.136	0	2.287252903	1	28.14	1
FALSE	IsMasterProtein	P01111	GTPase NRas OS=Homo sapiens GN=NRAS PE=1 SV=1	20.63492063	4	8	2	1	189	21.216	5.17		4893	ENSG00000213281	NRAS	1	cell differentiation;cell organization and biogenesis;cellular component movement;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	Golgi;membrane	catalytic activity;nucleotide binding;protein binding;transporter activity	"Pf00009, Pf00071, Pf02421, Pf08477"	0.918	1.008	0.922	0.792	0.518	0.44	0.249	0.122	0.042	790	724.9	796.1	728.5	626	409.4	347.6	196.8	96	33	2	2	2	2	2	2	2	2	2	2	1.31	2	15.51846218	4	143.856658	4
FALSE	IsMasterProtein	P01116-2	Isoform 2B of GTPase KRas OS=Homo sapiens GN=KRAS	18.61702128	3	6	1	1	188	21.411	8.12		3845	ENSG00000133703	KRAS	12	cellular component movement;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;mitochondrion	catalytic activity;metal ion binding;nucleotide binding;protein binding;transporter activity	"Pf00009, Pf00071, Pf02421, Pf08477"	1.051	1.041	0.995	0.864	0.649	0.492	0.399	0.295	0.219	361.7	380.3	376.4	360	312.4	234.6	177.8	144.4	106.7	79.3	1	1	1	1	1	1	1	1	1	1	0.995	0	12.21336651	3	109.29	3
FALSE	IsMasterProtein	P01137	Transforming growth factor beta-1 OS=Homo sapiens GN=TGFB1 PE=1 SV=2	17.94871795	7	20	7	1	390	44.313	8.53		7040		TGFB1	19	cell death;cell differentiation;cell growth;cell organization and biogenesis;cell proliferation;cellular component movement;cellular homeostasis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;extracellular;membrane;nucleus;organelle lumen	protein binding	"Pf00019, Pf00688"	0.943	0.985	0.734	0.614	0.412	0.293	0.143	0.087	0.041	2332.2	2199.2	2298.3	1712.3	1431.2	960.3	683.6	333.3	202.7	96.7	5	5	5	5	5	5	5	5	5	5	1.228	0	31.02656817	7	179.95	7
FALSE	IsMasterProtein	P01568	Interferon alpha-21 OS=Homo sapiens GN=IFNA21 PE=1 SV=2	3.703703704	1	2	1	1	189	21.727	6.77		3452	ENSG00000137080	IFNA21	9	cell differentiation;cell proliferation;coagulation;defense response;regulation of biological process;response to stimulus	extracellular	protein binding	Pf00143																														0.233	0	2.618087053	1	0	1
FALSE	IsMasterProtein	P01615	Ig kappa chain V-II region FR OS=Homo sapiens PE=1 SV=1	23.89380531	1	1	1	1	113	12.652	7.94						defense response;metabolic process;regulation of biological process;response to stimulus	extracellular;membrane	protein binding	"Pf07679, Pf07686"																														0.468	0	0	1		
FALSE	IsMasterProtein	P01710	Ig lambda chain V-II region BO OS=Homo sapiens PE=1 SV=1	14.41441441	1	1	1	1	111	11.778	6						defense response;metabolic process;regulation of biological process;response to stimulus	extracellular;membrane	protein binding	Pf07686																														0.585	0	2.191455364	1		
FALSE	IsMasterProtein	P01889	"HLA class I histocompatibility antigen, B-7 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=3"	7.182320442	1	2	1	1	362	40.435	5.85		3106	ENSG00000234745	HLA-B	6	defense response;regulation of biological process;response to stimulus	cell surface;endoplasmic reticulum;Golgi;membrane	protein binding	"Pf00129, Pf06623, Pf07654"																														0.116	0	0	1		
FALSE	IsMasterProtein	P02008	Hemoglobin subunit zeta OS=Homo sapiens GN=HBZ PE=1 SV=2	80.28169014	10	403	9	1	142	15.627	8.21		3050	ENSG00000130656	HBZ	16	regulation of biological process;transport		metal ion binding;protein binding;transporter activity	Pf00042	1.018	1.053	1.019	0.902	0.749	0.662	0.534	0.389	0.216	36069.3	36715.1	37980.8	36743.9	32527.8	27025.8	23873.2	19250	14025.1	7806.4	14	14	14	14	14	14	14	14	14	14	22.101	2	852.0605419	10	4881.725261	10
FALSE	IsMasterProtein	P02042	Hemoglobin subunit delta OS=Homo sapiens GN=HBD PE=1 SV=2	62.58503401	7	38	3	1	147	16.045	8.05		3045	ENSG00000223609	HBD	11	coagulation;transport	cytosol	metal ion binding;protein binding;transporter activity	Pf00042	0.981	1.074	1.04	0.925	0.725	0.601	0.419	0.339	0.21	900.8	884	967.7	936.4	833.5	653.4	541.8	377.8	305	189.2	4	4	4	4	4	4	4	4	4	4	4.337	2	68.93595052	7	319.8774031	7
FALSE	IsMasterProtein	P02100	Hemoglobin subunit epsilon OS=Homo sapiens GN=HBE1 PE=1 SV=2	74.82993197	10	238	8	1	147	16.192	8.63		3046	ENSG00000213931	HBE1	11	cell organization and biogenesis;coagulation;regulation of biological process;transport	cytosol	metal ion binding;protein binding;transporter activity	Pf00042	0.972	1.02	0.888	0.768	0.613	0.521	0.38	0.265	0.132	20900	20312.6	21318.9	18564	16051.3	12806.9	10881.1	7949.2	5542.4	2767.3	13	13	13	13	13	13	13	13	13	13	45.416	0	419.965498	9	2662.936904	10
FALSE	IsMasterProtein	P02452	Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5	1.297814208	2	4	2	1	1464	138.857	5.8		1277	ENSG00000108821	COL1A1	17	cell communication;cell differentiation;cell organization and biogenesis;cellular component movement;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;extracellular;Golgi;organelle lumen	metal ion binding;protein binding;structural molecule activity	"Pf00093, Pf01391, Pf01410"																														0.053	0	4.643470407	2	25.91	2
FALSE	IsMasterProtein	P02458	Collagen alpha-1(II) chain OS=Homo sapiens GN=COL2A1 PE=1 SV=3	1.815736382	2	3	2	1	1487	141.699	6.92		1280	ENSG00000139219	COL2A1	12	cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus	cytoplasm;extracellular;organelle lumen	metal ion binding;protein binding;structural molecule activity	"Pf00093, Pf01391, Pf01410"	0.912	1.284	1.312	1.265	1.003	0.957	0.905	0.913	0.872	340.2	310.4	436.9	446.2	430.3	341.1	325.6	307.8	310.7	296.7	2	2	2	2	2	2	2	2	2	2	0.026	0	4.145282269	1	22.26	2
FALSE	IsMasterProtein	P02538	"Keratin, type II cytoskeletal 6A OS=Homo sapiens GN=KRT6A PE=1 SV=3"	13.4751773	9	50	2	1	564	60.008	8		3853	ENSG00000205420	KRT6A	12	cell differentiation;cell organization and biogenesis;regulation of biological process	membrane;nucleus	catalytic activity;motor activity;protein binding;structural molecule activity	"Pf00038, Pf04111, Pf13166"	1.247	1.532	1.273	0.999	0.999	0.744	0.361	0.918	0.18	750.6	936.1	1149.8	955.8	750.1	749.5	558.8	270.7	688.9	135	2	2	2	2	2	2	2	2	2	2	1.154	1	65.41905332	8	247.6682988	8
FALSE	IsMasterProtein	P02545	Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1	42.77108434	27	64	26	1	664	74.095	7.02		4000	ENSG00000160789	LMNA	1	cell death;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;nucleus	protein binding;structural molecule activity	"Pf00038, Pf00932"	0.988	1.003	0.945	0.743	0.429	0.227	0.15	0.119	0.116	9961.2	9837.9	9988.5	9411.9	7400.8	4272	2263.9	1492.2	1190	1154.1	27	27	27	27	27	27	27	27	27	27	3.41	1	120.6104107	27	815.9807025	26
FALSE	IsMasterProtein	P02549	"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens GN=SPTA1 PE=1 SV=5"	18.35469202	35	67	34	1	2419	279.842	5.05		6708	ENSG00000163554	SPTA1	1	cell organization and biogenesis;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane	metal ion binding;protein binding;structural molecule activity	"Pf00018, Pf00435, Pf07653, Pf08726, Pf14604"	0.86	0.669	0.35	0.183	0.135	0.079	0.051	0.041	0.036	17717.4	15231.6	11853.7	6193.5	3234.3	2389.4	1397.1	907.7	731.5	639.8	31	31	31	31	31	31	31	31	31	31	0.653	0	132.9097359	35	739.0130368	31
