Checked	Master	Accession	Description	Coverage	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Modifications	Entrez Gene ID	Ensembl Gene ID	Gene ID	Chromosome	Biological Process	Cellular Component	Molecular Function	Pfam IDs	"Abundance Ratio: (127_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (127_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (128_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (128_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (129_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (129_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (130_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (130_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (131, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance: F1: 126, Sample, Treatment_rep2"	"Abundance: F1: 127_N, Sample, Treatment_rep2"	"Abundance: F1: 127_C, Sample, Treatment_rep2"	"Abundance: F1: 128_N, Sample, Treatment_rep2"	"Abundance: F1: 128_C, Sample, Treatment_rep2"	"Abundance: F1: 129_N, Sample, Treatment_rep2"	"Abundance: F1: 129_C, Sample, Treatment_rep2"	"Abundance: F1: 130_N, Sample, Treatment_rep2"	"Abundance: F1: 130_C, Sample, Treatment_rep2"	"Abundance: F1: 131, Sample, Treatment_rep2"	"Abundances Count: F1: 126, Sample, Treatment_rep2"	"Abundances Count: F1: 127_N, Sample, Treatment_rep2"	"Abundances Count: F1: 127_C, Sample, Treatment_rep2"	"Abundances Count: F1: 128_N, Sample, Treatment_rep2"	"Abundances Count: F1: 128_C, Sample, Treatment_rep2"	"Abundances Count: F1: 129_N, Sample, Treatment_rep2"	"Abundances Count: F1: 129_C, Sample, Treatment_rep2"	"Abundances Count: F1: 130_N, Sample, Treatment_rep2"	"Abundances Count: F1: 130_C, Sample, Treatment_rep2"	"Abundances Count: F1: 131, Sample, Treatment_rep2"	emPAI	# Razor Peptides	Score Sequest HT	# Peptides Sequest HT	Score Mascot	# Peptides Mascot
FALSE	IsMasterProtein	P00491	Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2	80.62283737	19	138	12	1	289	32.097	6.95		4860	ENSG00000198805	PNP	14	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;nucleus	catalytic activity	Pf01048	1.009	1.069	1.005	0.898	0.756	0.742	0.665	0.611	0.411	13918.8	14041.4	14874.6	13986.8	12497.1	10523.6	10321.2	9255.6	8511.3	5720.6	26	26	26	26	26	26	26	26	26	26	22.101	11	257.3864143	19	1521.765738	17
FALSE	IsMasterProtein	P00492	Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2	66.51376147	11	70	10	1	218	24.564	6.68		3251	ENSG00000165704	HPRT1	X	cell differentiation;cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol	catalytic activity;metal ion binding;nucleotide binding;protein binding	"Pf00156, Pf15610"	0.973	1.061	0.971	0.872	0.696	0.726	0.65	0.642	0.565	8107.6	7891.4	8600.4	7868.7	7073.4	5641.4	5887.3	5273.3	5205	4578.3	14	14	14	14	14	14	14	14	14	14	13.251	1	151.1725099	11	1031.970101	11
FALSE	IsMasterProtein	P00505	"Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=3"	50.69767442	24	126	24	1	430	47.487	9.01		2806	ENSG00000125166	GOT2	16	metabolic process;response to stimulus;transport	cell surface;membrane;mitochondrion;organelle lumen	catalytic activity;protein binding;RNA binding	Pf00155	0.94	1.017	0.963	0.814	0.665	0.607	0.54	0.486	0.437	13088	12300	13311.4	12603.7	10652.3	8702	7946.1	7072.6	6362.8	5713.1	31	31	31	31	31	31	31	31	31	31	16.433	0	246.7402518	24	1203.983249	18
FALSE	IsMasterProtein	P00519-2	Isoform IB of Tyrosine-protein kinase ABL1 OS=Homo sapiens GN=ABL1	11.74934726	13	26	12	1	1149	124.877	8.84		25	ENSG00000097007	ABL1	9	cell differentiation;cell organization and biogenesis;cellular component movement;cellular homeostasis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane;mitochondrion;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding	"Pf00017, Pf00018, Pf00069, Pf07653, Pf07714, Pf08919, Pf14604"	0.878	0.71	0.583	0.364	0.244	0.193	0.144	0.137	0.12	4750.2	4171.4	3373.1	2771.6	1729.2	1158.9	915.8	686.3	649.9	569.8	8	8	8	8	8	8	8	8	8	8	0.543	0	46.64956248	13	222.6133333	13
FALSE	IsMasterProtein	P00540	Proto-oncogene serine/threonine-protein kinase mos OS=Homo sapiens GN=MOS PE=2 SV=1	1.734104046	1	2	1	1	346	37.796	8.91		4342	ENSG00000172680	MOS	8	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytosol	catalytic activity;nucleotide binding;protein binding;signal transducer activity	"Pf00295, Pf12708"	0.768	0.933	0.548	0.534	0.282	0.363	0.174	0.151	0.052	372.5	286	347.5	204.1	199.1	105	135.1	64.9	56.2	19.4	1	1	1	1	1	1	1	1	1	1	0.11	0	3.462177515	1		
FALSE	IsMasterProtein	P00558	Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3	70.26378897	25	681	20	1	417	44.586	8.1		5230	ENSG00000102144	PGK1	X	cell differentiation;metabolic process	cytoplasm;cytosol;membrane	catalytic activity;nucleotide binding;protein binding	Pf00162	0.942	1.161	0.959	0.824	0.495	0.136	0.078	0.05	0.04	86477.4	81429.7	100426.6	82924.7	71232.3	42817.8	11785.8	6719.7	4333	3474.8	53	53	53	53	53	53	53	53	53	53	91.612	8	1333.716941	25	7813.246673	23
FALSE	IsMasterProtein	P00747	Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2	2.469135802	3	6	2	1	810	90.51	7.24		5340	ENSG00000122194	PLG	6	cell differentiation;cell organization and biogenesis;cellular component movement;cellular homeostasis;coagulation;metabolic process;regulation of biological process;transport	cell surface;extracellular;membrane;organelle lumen	catalytic activity;metal ion binding;protein binding	"Pf00024, Pf00051, Pf00089, Pf09342, Pf13365"	0.89	0.893	0.71	0.613	0.459	0.449	0.384	0.428	0.338	1864.9	1659.6	1665.3	1324.3	1142.8	855.3	837.3	716.1	798.3	629.7	2	2	2	2	2	2	2	2	2	2	0.151	0	9.627902508	3	42.62	1
FALSE	IsMasterProtein	P00750	Tissue-type plasminogen activator OS=Homo sapiens GN=PLAT PE=1 SV=1	4.804270463	1	1	1	1	562	62.876	7.8		5327	ENSG00000104368	PLAT	8	cell communication;cellular component movement;coagulation;metabolic process;regulation of biological process;response to stimulus	cell surface;cytoplasm;extracellular	catalytic activity;protein binding	"Pf00039, Pf00051, Pf00089, Pf09342"																														0.07	0	0	1		
FALSE	IsMasterProtein	P00813	Adenosine deaminase OS=Homo sapiens GN=ADA PE=1 SV=3	40.49586777	13	30	13	1	363	40.739	5.95		100	ENSG00000196839	ADA	20	cell differentiation;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytosol;membrane;organelle lumen;vacuole	catalytic activity;metal ion binding;protein binding	Pf00962	0.977	1.035	1.069	0.93	0.764	0.727	0.584	0.487	0.295	3584.4	3503.6	3710.2	3832.4	3331.8	2738.4	2606.7	2092.6	1746.6	1057.7	9	9	9	9	9	9	9	9	9	9	3.062	0	66.18366933	13	264.5995451	12
FALSE	IsMasterProtein	P00915	Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2	6.130268199	1	5	1	1	261	28.852	7.12		759	ENSG00000133742	CA1	8	metabolic process;transport	cytoplasm;cytosol	catalytic activity;metal ion binding;protein binding	Pf00194	0.999	0.982	0.882	0.691	0.674	0.445	0.23	0.124	0.062	148.3	148.2	145.7	130.8	102.5	99.9	66	34.1	18.4	9.2	1	1	1	1	1	1	1	1	1	1	0.166	0	3.256541014	1	19.03	1
FALSE	IsMasterProtein	P00966	Argininosuccinate synthase OS=Homo sapiens GN=ASS1 PE=1 SV=2	3.640776699	2	5	2	1	412	46.501	8.02		445	ENSG00000130707	ASS1	9	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;endoplasmic reticulum;membrane;nucleus;vacuole	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00764, Pf03054, Pf06508"	0.965	1.007	0.849	0.482	0.353	0.22	0.152	0.105	0.086	745.6	719.3	750.8	633.3	359.2	263.4	164	113.3	78.2	63.8	2	2	2	2	2	2	2	2	2	2	0.194	0	5.532621384	2	41.7	2
FALSE	IsMasterProtein	P01008	Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1	1.50862069	1	2	1	1	464	52.569	6.71		462	ENSG00000117601	SERPINC1	1	coagulation;regulation of biological process;response to stimulus	extracellular;membrane	enzyme regulator activity;protein binding	Pf00079	0.927	0.976	0.765	0.645	0.38	0.273	0.113	0.092	0.038	675	625.7	658.6	516.2	435.3	256.7	184.4	76.3	61.9	25.7	1	1	1	1	1	1	1	1	1	1	0.08	0	2.449814558	1	0	1
FALSE	IsMasterProtein	P01023	Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3	3.120759837	5	10	3	1	1474	163.188	6.46		2	ENSG00000175899	A2M	12	cell differentiation;cell organization and biogenesis;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;extracellular;organelle lumen	enzyme regulator activity;protein binding	"Pf00207, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974, Pf13249"	0.902	1.011	0.88	0.778	0.569	0.561	0.377	0.259	0.087	1508.6	1361.1	1524.8	1327.3	1174.4	858.5	846	568.8	390.6	130.6	4	4	4	4	4	4	4	4	4	4	0.151	2	16.98604369	5	56.08	5
FALSE	IsMasterProtein	P01024	Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2	1.563439567	3	5	3	1	1663	187.03	6.4		718	ENSG00000125730	C3	19	coagulation;defense response;metabolic process;regulation of biological process;response to stimulus	extracellular;membrane	enzyme regulator activity;protein binding	"Pf00207, Pf01759, Pf01821, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974"	0.986	1.056	1.092	0.875	0.716	0.612	0.418	0.303	0.18	737.5	726.9	778.8	805.5	645.3	528.1	451.7	308.2	223.8	133.1	3	3	3	3	3	3	3	3	3	3	0.065	0	7.437493086	3	31.18	2
FALSE	IsMasterProtein	P01031	Complement C5 OS=Homo sapiens GN=C5 PE=1 SV=4	0.775656325	1	1	1	1	1676	188.186	6.52		727	ENSG00000106804	C5	9	cellular component movement;cellular homeostasis;defense response;metabolic process;regulation of biological process;response to stimulus	extracellular	enzyme regulator activity;protein binding	"Pf00207, Pf01759, Pf01821, Pf01835, Pf07677, Pf07678, Pf07703, Pf11974"	1.021	1.015	0.751	0.397	0.264	0.15	0.107	0.082	0.053	358.2	365.7	363.6	269.1	142.1	94.6	53.6	38.3	29.2	19	1	1	1	1	1	1	1	1	1	1	0.023	0	0	1		
FALSE	IsMasterProtein	P01033	Metalloproteinase inhibitor 1 OS=Homo sapiens GN=TIMP1 PE=1 SV=1	4.347826087	1	2	1	1	207	23.156	8.1		7076	ENSG00000102265	TIMP1	X	cell organization and biogenesis;coagulation;regulation of biological process;response to stimulus;transport	extracellular;organelle lumen	enzyme regulator activity;metal ion binding;protein binding	Pf00965	0.777	0.543	0.39	0.248	0.172	0.108	0.066	0.048	0.029	1335.4	1037.5	724.5	520.9	331.7	229.7	144.5	87.5	63.6	39	1	1	1	1	1	1	1	1	1	1	0.233	0	3.879333973	1	45.14	1
FALSE	IsMasterProtein	P01034	Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1	40.4109589	5	16	4	1	146	15.789	8.75		1471	ENSG00000101439	CST3	20	cell death;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	endoplasmic reticulum;endosome;extracellular;membrane;vacuole	enzyme regulator activity;protein binding	Pf00031	1.006	0.998	0.936	0.715	0.607	0.513	0.464	0.353	0.268	1284.6	1292.4	1281.8	1202.4	918.3	779.4	658.8	596.3	453.3	344	5	5	5	5	5	5	5	5	5	5	5.31	0	30.58887148	5	118.9666667	4
FALSE	IsMasterProtein	P01040	Cystatin-A OS=Homo sapiens GN=CSTA PE=1 SV=1	30.6122449	2	4	2	1	98	11	5.5		1475	ENSG00000121552	CSTA	3	cell differentiation;metabolic process;regulation of biological process	cytoplasm;cytoskeleton;nucleus	enzyme regulator activity;protein binding;structural molecule activity	Pf00031	1.058	1.003	1.004	0.8	0.621	0.571	0.465	0.501	0.541	507.5	536.7	508.8	509.7	405.8	315.4	289.8	236.2	254.3	274.7	2	2	2	2	2	2	2	2	2	2	0.931	0	8.069843531	2	92.87	2
FALSE	IsMasterProtein	P01106-2	Isoform 2 of Myc proto-oncogene protein OS=Homo sapiens GN=MYC	1.982378855	1	2	1	1	454	50.534	5.43		4609		MYC	8	cell death;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;nucleus	DNA binding;protein binding	"Pf00010, Pf01056, Pf02344"	0.949	0.767	1.694	0.707	0.559	0.442	0.335	0.325	0.362	112.1	106.4	86	189.9	79.3	62.7	49.5	37.6	36.4	40.6	1	1	1	1	1	1	1	1	1	1	0.136	0	2.287183285	1	31.09	1
FALSE	IsMasterProtein	P01111	GTPase NRas OS=Homo sapiens GN=NRAS PE=1 SV=1	19.04761905	3	6	2	1	189	21.216	5.17		4893	ENSG00000213281	NRAS	1	cell differentiation;cell organization and biogenesis;cellular component movement;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	Golgi;membrane	catalytic activity;nucleotide binding;protein binding;transporter activity	"Pf00009, Pf00071, Pf02421, Pf08477"	0.816	0.688	0.723	0.595	0.49	0.389	0.397	0.17	0.156	36.5	29.8	25.1	26.4	21.7	17.9	14.2	14.5	6.2	5.7	1	1	1	1	1	1	1	1	1	1	0.874	1	11.30452275	3	77.99	3
FALSE	IsMasterProtein	P01116-2	Isoform 2B of GTPase KRas OS=Homo sapiens GN=KRAS	12.23404255	2	4	1	1	188	21.411	8.12		3845	ENSG00000133703	KRAS	12	cellular component movement;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;mitochondrion	catalytic activity;metal ion binding;nucleotide binding;protein binding;transporter activity	"Pf00009, Pf00071, Pf02421, Pf08477"	1.003	1.063	0.928	0.939	0.732	0.637	0.445	0.362	0.214	231.8	232.5	246.3	215.1	217.7	169.7	147.7	103.1	84	49.7	1	1	1	1	1	1	1	1	1	1	0.585	0	8.201141834	2	79.38	2
FALSE	IsMasterProtein	P01137	Transforming growth factor beta-1 OS=Homo sapiens GN=TGFB1 PE=1 SV=2	20	7	14	7	1	390	44.313	8.53		7040		TGFB1	19	cell death;cell differentiation;cell growth;cell organization and biogenesis;cell proliferation;cellular component movement;cellular homeostasis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;extracellular;membrane;nucleus;organelle lumen	protein binding	"Pf00019, Pf00688"	0.932	0.993	0.786	0.658	0.456	0.367	0.202	0.109	0.06	2215.3	2065.2	2200	1741.5	1458.1	1009.3	812.8	447.5	240.7	133.3	7	7	7	7	7	7	7	7	7	7	1.228	0	19.55518293	7	135.93	6
FALSE	IsMasterProtein	P01266	Thyroglobulin OS=Homo sapiens GN=TG PE=1 SV=5	1.300578035	2	2	2	1	2768	304.594	5.58		7038	ENSG00000042832	TG	8	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;endoplasmic reticulum;extracellular;Golgi	catalytic activity;protein binding;receptor activity	"Pf00086, Pf00135, Pf07699, Pf07859"																														0.033	0	1.905083656	2		
FALSE	IsMasterProtein	P01568	Interferon alpha-21 OS=Homo sapiens GN=IFNA21 PE=1 SV=2	3.703703704	1	2	1	1	189	21.727	6.77		3452	ENSG00000137080	IFNA21	9	cell differentiation;cell proliferation;coagulation;defense response;regulation of biological process;response to stimulus	extracellular	protein binding	Pf00143	1.094	1.05	0.476	0.308	0.223	0.339	0.116	0.037	0.01	120.5	131.8	126.5	57.3	37.1	26.9	40.9	14	4.5	1	1	1	1	1	1	1	1	1	1	1	0.233	0	2.933922052	1	0	1
FALSE	IsMasterProtein	P01591	Immunoglobulin J chain OS=Homo sapiens GN=IGJ PE=1 SV=4	6.918238994	1	1	1	1	159	18.087	5.24		3512	ENSG00000132465	IGJ; JCHAIN	4	defense response;regulation of biological process;response to stimulus	extracellular	DNA binding;protein binding	Pf15097	0.988	1.067	1.026	0.708	0.757	0.421	0.249	0.285	0.142	50.6	50	54	51.9	35.8	38.3	21.3	12.6	14.4	7.2	1	1	1	1	1	1	1	1	1	1	0.259	0	0	1		
FALSE	IsMasterProtein	P01733	T-cell receptor beta chain V region YT35 OS=Homo sapiens GN=TRBV12-3 PE=1 SV=1	8.148148148	1	1	1	1	135	15.087	6.74		28577		TRBV12-3	7	regulation of biological process;response to stimulus	membrane	protein binding	Pf07686	0.896	1.008	0.926	0.62	0.53	0.346	0.245	0.14	0.143	200.7	179.8	202.4	185.9	124.4	106.3	69.5	49.1	28.1	28.6	1	1	1	1	1	1	1	1	1	1	0.334	0	0	1		
FALSE	IsMasterProtein	P02008	Hemoglobin subunit zeta OS=Homo sapiens GN=HBZ PE=1 SV=2	89.43661972	11	467	10	1	142	15.627	8.21		3050	ENSG00000130656	HBZ	16	regulation of biological process;transport		metal ion binding;protein binding;transporter activity	Pf00042	1.001	1.076	1.035	0.908	0.756	0.684	0.501	0.365	0.192	49328	49392.4	53099.8	51063.8	44801.3	37275.6	33726.2	24695.6	17981.5	9476.1	15	15	15	15	15	15	15	15	15	15	42.288	2	973.3436617	11	4907.78993	11
FALSE	IsMasterProtein	P02042	Hemoglobin subunit delta OS=Homo sapiens GN=HBD PE=1 SV=2	67.34693878	8	28	7	1	147	16.045	8.05		3045	ENSG00000223609	HBD	11	coagulation;transport	cytosol	metal ion binding;protein binding;transporter activity	Pf00042	1.011	1.104	0.989	0.884	0.728	0.678	0.52	0.417	0.252	1734	1753.4	1914.9	1714.3	1533.1	1262.5	1175.9	901.6	723	437.1	6	6	6	6	6	6	6	6	6	6	5.579	0	54.1676681	7	337.6157143	8
FALSE	IsMasterProtein	P02100	Hemoglobin subunit epsilon OS=Homo sapiens GN=HBE1 PE=1 SV=2	74.82993197	10	216	8	1	147	16.192	8.63		3046	ENSG00000213931	HBE1	11	cell organization and biogenesis;coagulation;regulation of biological process;transport	cytosol	metal ion binding;protein binding;transporter activity	Pf00042	0.952	0.992	0.886	0.784	0.612	0.534	0.367	0.248	0.12	15379.3	14644.9	15260.3	13628.1	12051.1	9417.3	8219.5	5647.4	3808.1	1844.5	12	12	12	12	12	12	12	12	12	12	30.623	0	383.5943314	9	2190.21192	10
