"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Found in Sample: [S2] F2: 126, Control, drugS"	"Found in Sample: [S12] F2: 127N, Sample, drugS"	"Found in Sample: [S13] F2: 127C, Sample, drugS"	"Found in Sample: [S14] F2: 128N, Sample, drugS"	"Found in Sample: [S15] F2: 128C, Sample, drugS"	"Found in Sample: [S16] F2: 129N, Sample, drugS"	"Found in Sample: [S17] F2: 129C, Sample, drugS"	"Found in Sample: [S18] F2: 130N, Sample, drugS"	"Found in Sample: [S19] F2: 130C, Sample, drugS"	"Found in Sample: [S20] F2: 131, Sample, drugS"	"Modifications"	"Area: 126, drugS"	"Area: 127N, drugS"	"Area: 127C, drugS"	"Area: 128N, drugS"	"Area: 128C, drugS"	"Area: 129N, drugS"	"Area: 129C, drugS"	"Area: 130N, drugS"	"Area: 130C, drugS"	"Area: 131, drugS"	"Abundance Ratio: (127N, drugS) / (126, drugS)"	"Abundance Ratio: (127C, drugS) / (126, drugS)"	"Abundance Ratio: (128N, drugS) / (126, drugS)"	"Abundance Ratio: (128C, drugS) / (126, drugS)"	"Abundance Ratio: (129N, drugS) / (126, drugS)"	"Abundance Ratio: (129C, drugS) / (126, drugS)"	"Abundance Ratio: (130N, drugS) / (126, drugS)"	"Abundance Ratio: (130C, drugS) / (126, drugS)"	"Abundance Ratio: (131, drugS) / (126, drugS)"	"Abundance: F2: 126, Control, drugS"	"Abundance: F2: 127N, Sample, drugS"	"Abundance: F2: 127C, Sample, drugS"	"Abundance: F2: 128N, Sample, drugS"	"Abundance: F2: 128C, Sample, drugS"	"Abundance: F2: 129N, Sample, drugS"	"Abundance: F2: 129C, Sample, drugS"	"Abundance: F2: 130N, Sample, drugS"	"Abundance: F2: 130C, Sample, drugS"	"Abundance: F2: 131, Sample, drugS"	"Abundances Count: F2: 126, Control, drugS"	"Abundances Count: F2: 127N, Sample, drugS"	"Abundances Count: F2: 127C, Sample, drugS"	"Abundances Count: F2: 128N, Sample, drugS"	"Abundances Count: F2: 128C, Sample, drugS"	"Abundances Count: F2: 129N, Sample, drugS"	"Abundances Count: F2: 129C, Sample, drugS"	"Abundances Count: F2: 130N, Sample, drugS"	"Abundances Count: F2: 130C, Sample, drugS"	"Abundances Count: F2: 131, Sample, drugS"	"emPAI"	"# Razor Peptides"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"O43707"	"Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2"	"0"	"615.294086990383"	"58.7266739846323"	"47"	"322"	"33"	"1"	"911"	"104.788"	"5.44"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.8e9"	"1.7e9"	"2.0e9"	"1.9e9"	"1.8e9"	"2.0e9"	"1.7e9"	"1.7e9"	"1.8e9"	"1.6e9"	"0.996"	"1.142"	"1.212"	"1.124"	"1.174"	"1.048"	"0.944"	"1.097"	"0.976"	"31647.6"	"31535.7"	"36133.0"	"38364.4"	"35556.3"	"37163.2"	"33157.7"	"29885.4"	"34708.9"	"30895.4"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"128.155"	"17"	"1068.00868272781"	"47"
"False"	"High"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4"	"0"	"561.771061791962"	"54.0055248618784"	"36"	"525"	"22"	"1"	"724"	"83.212"	"5.03"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"8.0e9"	"8.7e9"	"9.3e9"	"1.1e10"	"9.0e9"	"1.0e10"	"7.9e9"	"7.8e9"	"8.7e9"	"7.7e9"	"0.968"	"1.135"	"1.306"	"1.186"	"1.181"	"1.034"	"0.953"	"1.104"	"1.000"	"60621.5"	"58709.8"	"68781.2"	"79168.0"	"71920.2"	"71574.5"	"62681.9"	"57765.0"	"66912.6"	"60631.4"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"471.518"	"22"	"1836.35292983055"	"36"
"False"	"High"	"IsMasterProtein"	"P12270"	"Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3"	"0"	"558.690838365424"	"34.4477359289039"	"75"	"169"	"74"	"1"	"2363"	"267.131"	"5.02"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.7e8"	"1.6e8"	"1.9e8"	"1.9e8"	"1.6e8"	"1.8e8"	"1.7e8"	"1.6e8"	"1.6e8"	"1.4e8"	"0.967"	"1.098"	"1.153"	"1.056"	"1.128"	"1.006"	"0.927"	"1.043"	"0.924"	"23592.1"	"22818.5"	"25892.6"	"27196.0"	"24920.8"	"26613.6"	"23730.8"	"21879.4"	"24596.0"	"21788.6"	"92"	"92"	"92"	"92"	"92"	"92"	"92"	"92"	"92"	"92"	"6.576"	"1"	"639.938156843185"	"75"
"False"	"High"	"IsMasterProtein"	"Q14204"	"Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5"	"0"	"558.241539068821"	"25.2260008609557"	"101"	"149"	"101"	"1"	"4646"	"532.072"	"6.4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"5.0e7"	"4.3e7"	"5.5e7"	"5.5e7"	"5.6e7"	"5.9e7"	"4.6e7"	"5.0e7"	"5.5e7"	"4.8e7"	"0.913"	"0.994"	"1.124"	"0.938"	"1.173"	"0.903"	"0.980"	"1.034"	"0.925"	"19139.4"	"17483.4"	"19030.7"	"21508.9"	"17949.8"	"22449.0"	"17281.1"	"18762.9"	"19796.9"	"17710.7"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"1.861"	"0"	"529.577063083649"	"101"
"False"	"High"	"IsMasterProtein"	"P49588"	"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2"	"0"	"547.530914046393"	"50.4132231404959"	"40"	"206"	"40"	"1"	"968"	"106.743"	"5.53"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.1e9"	"1.0e9"	"1.2e9"	"1.2e9"	"1.2e9"	"1.3e9"	"1.1e9"	"9.9e8"	"1.0e9"	"1.0e9"	"0.983"	"1.164"	"1.224"	"1.207"	"1.179"	"1.044"	"0.961"	"1.082"	"0.967"	"27621.6"	"27156.2"	"32139.2"	"33805.0"	"33329.4"	"32576.1"	"28839.9"	"26543.6"	"29886.8"	"26715.8"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"95.108"	"0"	"726.898328542709"	"40"
"False"	"High"	"IsMasterProtein"	"Q9UPN3-5"	"Isoform 4 of Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1"	"0"	"544.714873678842"	"21.9265746042439"	"112"	"145"	"2"	"1"	"5938"	"669.721"	"5.3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.8e6"	"2.5e6"	"3.3e6"	"3.3e6"	"2.5e6"	"2.8e6"	"2.7e6"	"2.6e6"	"3.2e6"	"2.4e6"	"0.877"	"1.199"	"1.194"	"0.860"	"0.951"	"0.913"	"0.899"	"1.139"	"0.782"	"52.7"	"46.2"	"63.2"	"62.9"	"45.3"	"50.1"	"48.1"	"47.4"	"60.0"	"41.2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1.221"	"0"	"517.111276626587"	"112"
"False"	"High"	"IsMasterProtein"	"P07900-2"	"Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1"	"0"	"531.327259319862"	"45.6674473067916"	"35"	"454"	"20"	"1"	"854"	"98.099"	"5.16"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.9e9"	"2.7e9"	"3.3e9"	"3.3e9"	"3.0e9"	"3.1e9"	"2.7e9"	"2.6e9"	"2.9e9"	"2.4e9"	"0.951"	"1.115"	"1.224"	"1.127"	"1.159"	"1.016"	"0.933"	"1.078"	"0.955"	"27445.9"	"26099.3"	"30602.1"	"33607.3"	"30921.9"	"31808.5"	"27892.7"	"25611.0"	"29599.9"	"26211.5"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"174.751"	"2"	"1566.69091486931"	"35"
"False"	"High"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1"	"0"	"515.676880551644"	"55.4179566563467"	"31"	"484"	"19"	"1"	"646"	"70.854"	"5.52"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"7.7e9"	"6.6e9"	"8.3e9"	"7.9e9"	"7.1e9"	"7.6e9"	"6.8e9"	"6.2e9"	"7.2e9"	"6.0e9"	"1.002"	"1.146"	"1.271"	"1.246"	"1.195"	"1.028"	"0.953"	"1.093"	"1.017"	"49067.7"	"49151.5"	"56241.1"	"62366.8"	"61118.9"	"58641.2"	"50455.3"	"46766.7"	"53643.0"	"49894.5"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"1602.719"	"23"	"1627.87549495697"	"31"
"False"	"High"	"IsMasterProtein"	"P55072"	"Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4"	"0"	"509.061658882549"	"60.4218362282878"	"38"	"181"	"38"	"1"	"806"	"89.266"	"5.26"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.3e9"	"1.2e9"	"1.4e9"	"1.5e9"	"1.3e9"	"1.4e9"	"1.3e9"	"1.1e9"	"1.3e9"	"1.0e9"	"0.971"	"1.132"	"1.190"	"1.151"	"1.171"	"1.038"	"0.950"	"1.098"	"0.968"	"21046.7"	"20437.6"	"23816.4"	"25046.6"	"24222.2"	"24650.3"	"21853.4"	"20004.8"	"23099.2"	"20373.0"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"89.852"	"0"	"690.633768796921"	"38"
"False"	"High"	"IsMasterProtein"	"Q00610"	"Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5"	"0"	"496.414830430357"	"39.7014925373134"	"51"	"168"	"51"	"1"	"1675"	"191.493"	"5.69"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"4.2e8"	"3.4e8"	"4.0e8"	"4.3e8"	"3.7e8"	"4.1e8"	"3.7e8"	"3.7e8"	"4.1e8"	"3.3e8"	"0.889"	"1.003"	"1.131"	"0.981"	"1.135"	"0.911"	"0.947"	"1.017"	"0.916"	"22400.5"	"19918.5"	"22458.5"	"25338.4"	"21972.7"	"25423.6"	"20399.9"	"21220.1"	"22772.7"	"20518.9"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"10.565"	"0"	"622.079045772552"	"51"
"False"	"High"	"IsMasterProtein"	"P49321"	"Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2"	"0"	"491.557878028766"	"63.4517766497462"	"39"	"208"	"39"	"1"	"788"	"85.186"	"4.3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.6e9"	"1.7e9"	"1.8e9"	"2.0e9"	"1.9e9"	"1.8e9"	"1.6e9"	"1.4e9"	"1.8e9"	"1.4e9"	"0.988"	"1.177"	"1.216"	"1.241"	"1.150"	"1.049"	"0.926"	"1.096"	"0.965"	"28278.5"	"27949.8"	"33282.6"	"34384.5"	"35094.6"	"32531.0"	"29666.9"	"26184.2"	"31002.6"	"27279.3"	"62"	"62"	"62"	"61"	"62"	"62"	"62"	"62"	"62"	"62"	"149.584"	"0"	"777.42991900444"	"39"
"False"	"High"	"IsMasterProtein"	"Q01082"	"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2"	"0"	"491.402211692598"	"35.9560067681895"	"70"	"136"	"65"	"1"	"2364"	"274.439"	"5.57"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"6.7e7"	"7.0e7"	"7.8e7"	"8.4e7"	"7.6e7"	"7.8e7"	"6.8e7"	"6.6e7"	"6.9e7"	"6.6e7"	"0.967"	"1.085"	"1.161"	"1.042"	"1.143"	"0.983"	"0.930"	"1.066"	"0.931"	"17778.9"	"17197.3"	"19291.3"	"20649.5"	"18524.3"	"20313.9"	"17472.0"	"16526.1"	"18943.5"	"16545.9"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"3.844"	"5"	"479.623665571213"	"70"
"False"	"High"	"IsMasterProtein"	"P34932"	"Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4"	"0"	"482.233738699956"	"61.9047619047619"	"44"	"219"	"43"	"1"	"840"	"94.271"	"5.19"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"9.5e8"	"8.9e8"	"1.1e9"	"1.1e9"	"9.7e8"	"1.0e9"	"9.6e8"	"8.1e8"	"9.5e8"	"8.1e8"	"0.949"	"1.135"	"1.199"	"1.181"	"1.138"	"0.999"	"0.932"	"1.062"	"0.940"	"25477.2"	"24184.5"	"28916.1"	"30559.9"	"30085.3"	"28992.5"	"25454.4"	"23744.4"	"27046.6"	"23936.5"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"95.108"	"1"	"692.177682638168"	"44"
"False"	"High"	"IsMasterProtein"	"P06733"	"Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2"	"0"	"460.675695932459"	"69.1244239631336"	"24"	"474"	"8"	"1"	"434"	"47.139"	"7.39"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.0e10"	"9.3e9"	"1.2e10"	"1.1e10"	"1.1e10"	"1.0e10"	"1.0e10"	"8.2e9"	"1.1e10"	"8.4e9"	"0.994"	"1.179"	"1.265"	"1.199"	"1.179"	"1.048"	"0.947"	"1.099"	"0.995"	"56026.9"	"55696.5"	"66037.1"	"70855.7"	"67161.8"	"66040.5"	"58696.1"	"53073.6"	"61548.0"	"55767.0"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"1267.961"	"30"	"1767.40338873863"	"24"
"False"	"High"	"IsMasterProtein"	"P46940"	"Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1"	"0"	"459.032609394766"	"37.2963186481593"	"50"	"130"	"48"	"1"	"1657"	"189.134"	"6.48"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.2e8"	"1.8e8"	"2.2e8"	"2.3e8"	"2.3e8"	"2.2e8"	"2.1e8"	"1.9e8"	"2.0e8"	"1.8e8"	"0.944"	"1.108"	"1.199"	"1.062"	"1.172"	"0.991"	"0.958"	"1.060"	"0.966"	"17509.6"	"16533.4"	"19392.8"	"21000.7"	"18590.1"	"20515.2"	"17355.3"	"16780.3"	"18567.2"	"16909.2"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"10.849"	"2"	"470.641024112701"	"50"
"False"	"High"	"IsMasterProtein"	"P46821"	"Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2"	"0"	"448.852372296253"	"31.807131280389"	"58"	"103"	"57"	"1"	"2468"	"270.468"	"4.81"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.1e8"	"1.0e8"	"1.2e8"	"1.2e8"	"1.1e8"	"1.1e8"	"1.1e8"	"9.6e7"	"9.7e7"	"9.5e7"	"0.944"	"1.116"	"1.164"	"1.124"	"1.118"	"0.998"	"0.907"	"1.040"	"0.923"	"17499.9"	"16521.3"	"19525.6"	"20364.6"	"19677.3"	"19569.7"	"17458.7"	"15878.4"	"18198.0"	"16143.7"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"4.364"	"1"	"414.54098200798"	"58"
