id	description	condition	20	5	1.25	0.3123	0.078125	0.019531	0.004883	0.001221	0.000305	0	Abundance_20	Abundance_5	Abundance_1.25	Abundance_0.3123	Abundance_0.078125	Abundance_0.019531	Abundance_0.004883	Abundance_0.001221	Abundance_0.000305	Abundance_0	sumUniPeps	sumPSMs	countNum
Q96E11	Ribosome-recycling factor, mitochondrial OS=Homo sapiens GN=MRRF PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96B45	UPF0693 protein C10orf32 OS=Homo sapiens GN=C10orf32 PE=3 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96LB3	Intraflagellar transport protein 74 homolog OS=Homo sapiens GN=IFT74 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96F63	Coiled-coil domain-containing protein 97 OS=Homo sapiens GN=CCDC97 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96D46	60S ribosomal export protein NMD3 OS=Homo sapiens GN=NMD3 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
O60516	Eukaryotic translation initiation factor 4E-binding protein 3 OS=Homo sapiens GN=EIF4EBP3 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q13496	Myotubularin OS=Homo sapiens GN=MTM1 PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q32MK0	Myosin light chain kinase 3 OS=Homo sapiens GN=MYLK3 PE=2 SV=3	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
Q15139	Serine/threonine-protein kinase D1 OS=Homo sapiens GN=PRKD1 PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9H0R8-2	Isoform 2 of Gamma-aminobutyric acid receptor-associated protein-like 1 OS=Homo sapiens GN=GABARAPL1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
Q96CF2	Charged multivesicular body protein 4c OS=Homo sapiens GN=CHMP4C PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q969L4	U7 snRNA-associated Sm-like protein LSm10 OS=Homo sapiens GN=LSM10 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9BW19	Kinesin-like protein KIFC1 OS=Homo sapiens GN=KIFC1 PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9UJ41	Rab5 GDP/GTP exchange factor OS=Homo sapiens GN=RABGEF1 PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
O75362	Zinc finger protein 217 OS=Homo sapiens GN=ZNF217 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96GC5	39S ribosomal protein L48, mitochondrial OS=Homo sapiens GN=MRPL48 PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9NZB2-6	Isoform F of Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P46776	60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
Q9H3M7	Thioredoxin-interacting protein OS=Homo sapiens GN=TXNIP PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9BSW2-2	Isoform 2 of EF-hand calcium-binding domain-containing protein 4B OS=Homo sapiens GN=CRACR2A	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9BWJ5	Splicing factor 3B subunit 5 OS=Homo sapiens GN=SF3B5 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96FK6	WD repeat-containing protein 89 OS=Homo sapiens GN=WDR89 PE=2 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
O43823	A-kinase anchor protein 8 OS=Homo sapiens GN=AKAP8 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
O75152	Zinc finger CCCH domain-containing protein 11A OS=Homo sapiens GN=ZC3H11A PE=1 SV=3	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q13066	G antigen 2B/2C OS=Homo sapiens GN=GAGE2B PE=2 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
O60934	Nibrin OS=Homo sapiens GN=NBN PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P35613	Basigin OS=Homo sapiens GN=BSG PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q5W0B1	RING finger protein 219 OS=Homo sapiens GN=RNF219 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q99766	ATP synthase subunit s, mitochondrial OS=Homo sapiens GN=ATP5S PE=1 SV=3	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q6P1L5	Protein FAM117B OS=Homo sapiens GN=FAM117B PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P52434-4	Isoform 4 of DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Homo sapiens GN=POLR2H	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q8TCG1	Protein CIP2A OS=Homo sapiens GN=KIAA1524 PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q92625	Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens GN=ANKS1A PE=1 SV=4	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P15923-2	Isoform E47 of Transcription factor E2-alpha OS=Homo sapiens GN=TCF3	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q8TD16-2	Isoform 2 of Protein bicaudal D homolog 2 OS=Homo sapiens GN=BICD2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9Y2L5	Trafficking protein particle complex subunit 8 OS=Homo sapiens GN=TRAPPC8 PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q8N371-3	Isoform 3 of Lysine-specific demethylase 8 OS=Homo sapiens GN=KDM8	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9BX66	Sorbin and SH3 domain-containing protein 1 OS=Homo sapiens GN=SORBS1 PE=1 SV=3	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9BTV6	Diphthine methyltransferase OS=Homo sapiens GN=DPH7 PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q99592-2	Isoform 2 of Zinc finger and BTB domain-containing protein 18 OS=Homo sapiens GN=ZBTB18	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q99523	Sortilin OS=Homo sapiens GN=SORT1 PE=1 SV=3	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q13509	Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	199	NA
P51610	Host cell factor 1 OS=Homo sapiens GN=HCFC1 PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	46	NA
Q14980	Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	42	NA
O43852-4	Isoform 4 of Calumenin OS=Homo sapiens GN=CALU	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	42	NA
Q8WUD1	Ras-related protein Rab-2B OS=Homo sapiens GN=RAB2B PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7	NA
P0DMM9-3	Isoform 3 of Sulfotransferase 1A3 OS=Homo sapiens GN=SULT1A3	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
O15131	Importin subunit alpha-6 OS=Homo sapiens GN=KPNA5 PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
Q9BYD1	39S ribosomal protein L13, mitochondrial OS=Homo sapiens GN=MRPL13 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
P78356	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS=Homo sapiens GN=PIP4K2B PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
Q16563	Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q8IXQ3	Uncharacterized protein C9orf40 OS=Homo sapiens GN=C9orf40 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9NUY8	TBC1 domain family member 23 OS=Homo sapiens GN=TBC1D23 PE=1 SV=3	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q12824	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Homo sapiens GN=SMARCB1 PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
O75771-8	Isoform 8 of DNA repair protein RAD51 homolog 4 OS=Homo sapiens GN=RAD51D	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q6ZN55-2	Isoform 2 of Zinc finger protein 574 OS=Homo sapiens GN=ZNF574	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q6ZRS2	Helicase SRCAP OS=Homo sapiens GN=SRCAP PE=1 SV=3	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
Q9P0W2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related OS=Homo sapiens GN=HMG20B PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9UK53	Inhibitor of growth protein 1 OS=Homo sapiens GN=ING1 PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q01804	OTU domain-containing protein 4 OS=Homo sapiens GN=OTUD4 PE=1 SV=4	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9NVM6	DnaJ homolog subfamily C member 17 OS=Homo sapiens GN=DNAJC17 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
O14795-2	Isoform 2 of Protein unc-13 homolog B OS=Homo sapiens GN=UNC13B	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q8NG48	Protein Lines homolog OS=Homo sapiens GN=LINS PE=2 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q8N8R5	UPF0565 protein C2orf69 OS=Homo sapiens GN=C2orf69 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q8IY33	MICAL-like protein 2 OS=Homo sapiens GN=MICALL2 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P00747	Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
Q9BQI3	Eukaryotic translation initiation factor 2-alpha kinase 1 OS=Homo sapiens GN=EIF2AK1 PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
O95202	LETM1 and EF-hand domain-containing protein 1, mitochondrial OS=Homo sapiens GN=LETM1 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96FN9	Probable D-tyrosyl-tRNA(Tyr) deacylase 2 OS=Homo sapiens GN=DTD2 PE=2 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
O95363	Phenylalanine--tRNA ligase, mitochondrial OS=Homo sapiens GN=FARS2 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96JB3	Hypermethylated in cancer 2 protein OS=Homo sapiens GN=HIC2 PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96IF1	LIM domain-containing protein ajuba OS=Homo sapiens GN=AJUBA PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q8TB03	Uncharacterized protein CXorf38 OS=Homo sapiens GN=CXorf38 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96M02	Centrosomal protein C10orf90 OS=Homo sapiens GN=C10orf90 PE=2 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P27824-2	Isoform 2 of Calnexin OS=Homo sapiens GN=CANX	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q8NCE0	tRNA-splicing endonuclease subunit Sen2 OS=Homo sapiens GN=TSEN2 PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P63220	40S ribosomal protein S21 OS=Homo sapiens GN=RPS21 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q01196-8	Isoform AML-1G of Runt-related transcription factor 1 OS=Homo sapiens GN=RUNX1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9Y4C2	TRPM8 channel-associated factor 1 OS=Homo sapiens GN=TCAF1 PE=1 SV=3	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q8IUQ4-2	Isoform 2 of E3 ubiquitin-protein ligase SIAH1 OS=Homo sapiens GN=SIAH1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9NWM8	Peptidyl-prolyl cis-trans isomerase FKBP14 OS=Homo sapiens GN=FKBP14 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q6I9Y2	THO complex subunit 7 homolog OS=Homo sapiens GN=THOC7 PE=1 SV=3	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q96EZ8-2	Isoform 2 of Microspherule protein 1 OS=Homo sapiens GN=MCRS1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9UHA3	Probable ribosome biogenesis protein RLP24 OS=Homo sapiens GN=RSL24D1 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q15506	Sperm surface protein Sp17 OS=Homo sapiens GN=SPA17 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9NS91	E3 ubiquitin-protein ligase RAD18 OS=Homo sapiens GN=RAD18 PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P33981	Dual specificity protein kinase TTK OS=Homo sapiens GN=TTK PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9UIV1	CCR4-NOT transcription complex subunit 7 OS=Homo sapiens GN=CNOT7 PE=1 SV=3	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
O00311	Cell division cycle 7-related protein kinase OS=Homo sapiens GN=CDC7 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q1MSJ5	Centrosome and spindle pole-associated protein 1 OS=Homo sapiens GN=CSPP1 PE=1 SV=4	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q86YV9	Hermansky-Pudlak syndrome 6 protein OS=Homo sapiens GN=HPS6 PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9H4B0	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial OS=Homo sapiens GN=OSGEPL1 PE=2 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P49674	Casein kinase I isoform epsilon OS=Homo sapiens GN=CSNK1E PE=1 SV=1	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P54803	Galactocerebrosidase OS=Homo sapiens GN=GALC PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q14865	AT-rich interactive domain-containing protein 5B OS=Homo sapiens GN=ARID5B PE=1 SV=3	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
O43422	52 kDa repressor of the inhibitor of the protein kinase OS=Homo sapiens GN=PRKRIR PE=1 SV=2	drug.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
Q9UPN9-2	Isoform Beta of E3 ubiquitin-protein ligase TRIM33 OS=Homo sapiens GN=TRIM33	ST.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	25	NA
P09493-7	Isoform 7 of Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1	ST.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	45	NA
P09493-5	Isoform 5 of Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1	ST.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	45	NA
Q96RL7	Vacuolar protein sorting-associated protein 13A OS=Homo sapiens GN=VPS13A PE=1 SV=2	ST.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
