id	description	condition	37	40	43	46	49	52	55	58	61	64	sumUniPeps	sumPSMs	countNum
P49703	ADP-ribosylation factor-like protein 4D OS=Homo sapiens GN=ARL4D PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P50993	Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens GN=ATP1A2 PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	9	NA
P51513	RNA-binding protein Nova-1 OS=Homo sapiens GN=NOVA1 PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P51610	Host cell factor 1 OS=Homo sapiens GN=HCFC1 PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	130	NA
P51800	Chloride channel protein ClC-Ka OS=Homo sapiens GN=CLCNKA PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P53801	Pituitary tumor-transforming gene 1 protein-interacting protein OS=Homo sapiens GN=PTTG1IP PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P55285	Cadherin-6 OS=Homo sapiens GN=CDH6 PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P56181	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial OS=Homo sapiens GN=NDUFV3 PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA
P59923	Zinc finger protein 445 OS=Homo sapiens GN=ZNF445 PE=2 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
P61018-2	Isoform 2 of Ras-related protein Rab-4B OS=Homo sapiens GN=RAB4B	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	14	NA
P61129	Zinc finger CCCH domain-containing protein 6 OS=Homo sapiens GN=ZC3H6 PE=2 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P61647	Alpha-2,8-sialyltransferase 8F OS=Homo sapiens GN=ST8SIA6 PE=2 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA
P62491	Ras-related protein Rab-11A OS=Homo sapiens GN=RAB11A PE=1 SV=3	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	66	NA
P63096	Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens GN=GNAI1 PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA
P98095-2	Isoform 2 of Fibulin-2 OS=Homo sapiens GN=FBLN2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P98164	Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens GN=LRP2 PE=1 SV=3	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P01568	Interferon alpha-21 OS=Homo sapiens GN=IFNA21 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P01615	Ig kappa chain V-II region FR OS=Homo sapiens PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P01710	Ig lambda chain V-II region BO OS=Homo sapiens PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P01889	HLA class I histocompatibility antigen, B-7 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P02452	Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA
P04844	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens GN=RPN2 PE=1 SV=3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P05771	Protein kinase C beta type OS=Homo sapiens GN=PRKCB PE=1 SV=4	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	116	NA
P07202	Thyroid peroxidase OS=Homo sapiens GN=TPO PE=1 SV=4	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P08567	Pleckstrin OS=Homo sapiens GN=PLEK PE=1 SV=3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P08700	Interleukin-3 OS=Homo sapiens GN=IL3 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P08779	Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	33	NA
P0C7Q3	Putative cyclin-related protein FAM58B OS=Homo sapiens GN=FAM58BP PE=5 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P0CB44	Putative spindle and kinetochore-associated protein 2-like OS=Homo sapiens GN=SKA2L PE=5 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P0CG34	Thymosin beta-15A OS=Homo sapiens GN=TMSB15A PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA
P0DI81-3	Isoform 3 of Trafficking protein particle complex subunit 2 OS=Homo sapiens GN=TRAPPC2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P10720	Platelet factor 4 variant OS=Homo sapiens GN=PF4V1 PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P10997	Islet amyloid polypeptide OS=Homo sapiens GN=IAPP PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P12034	Fibroblast growth factor 5 OS=Homo sapiens GN=FGF5 PE=1 SV=4	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P13056	Nuclear receptor subfamily 2 group C member 1 OS=Homo sapiens GN=NR2C1 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P14136-2	Isoform 2 of Glial fibrillary acidic protein OS=Homo sapiens GN=GFAP	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	15	NA
P16070	CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P17098	Zinc finger protein 8 OS=Homo sapiens GN=ZNF8 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P17538	Chymotrypsinogen B OS=Homo sapiens GN=CTRB1 PE=2 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P18206-3	Isoform 3 of Vinculin OS=Homo sapiens GN=VCL	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	93	NA
P19447	TFIIH basal transcription factor complex helicase XPB subunit OS=Homo sapiens GN=ERCC3 PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P22303-2	Isoform H of Acetylcholinesterase OS=Homo sapiens GN=ACHE	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P22607-2	Isoform 2 of Fibroblast growth factor receptor 3 OS=Homo sapiens GN=FGFR3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	11	NA
P22694-2	Isoform 2 of cAMP-dependent protein kinase catalytic subunit beta OS=Homo sapiens GN=PRKACB	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	24	NA
P24278	Zinc finger and BTB domain-containing protein 25 OS=Homo sapiens GN=ZBTB25 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6	NA
P24864	G1/S-specific cyclin-E1 OS=Homo sapiens GN=CCNE1 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
P26447	Protein S100-A4 OS=Homo sapiens GN=S100A4 PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA
P30499	HLA class I histocompatibility antigen, Cw-1 alpha chain OS=Homo sapiens GN=HLA-C PE=2 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P31249	Homeobox protein Hox-D3 OS=Homo sapiens GN=HOXD3 PE=1 SV=3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P32121-4	Isoform 4 of Beta-arrestin-2 OS=Homo sapiens GN=ARRB2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7	NA
P35670	Copper-transporting ATPase 2 OS=Homo sapiens GN=ATP7B PE=1 SV=4	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA
P36406	E3 ubiquitin-protein ligase TRIM23 OS=Homo sapiens GN=TRIM23 PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P41247	Patatin-like phospholipase domain-containing protein 4 OS=Homo sapiens GN=PNPLA4 PE=2 SV=3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P42772-2	Isoform 2 of Cyclin-dependent kinase 4 inhibitor B OS=Homo sapiens GN=CDKN2B	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P43080	Guanylyl cyclase-activating protein 1 OS=Homo sapiens GN=GUCA1A PE=1 SV=3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P49916	DNA ligase 3 OS=Homo sapiens GN=LIG3 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA
P51508	Zinc finger protein 81 OS=Homo sapiens GN=ZNF81 PE=1 SV=3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P51587	Breast cancer type 2 susceptibility protein OS=Homo sapiens GN=BRCA2 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
P51668	Ubiquitin-conjugating enzyme E2 D1 OS=Homo sapiens GN=UBE2D1 PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	8	NA
P51800	Chloride channel protein ClC-Ka OS=Homo sapiens GN=CLCNKA PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P55268	Laminin subunit beta-2 OS=Homo sapiens GN=LAMB2 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
P56381	ATP synthase subunit epsilon, mitochondrial OS=Homo sapiens GN=ATP5E PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA
P57679	Ellis-van Creveld syndrome protein OS=Homo sapiens GN=EVC PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P57768	Sorting nexin-16 OS=Homo sapiens GN=SNX16 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P62316-2	Isoform 2 of Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	63	NA
P63218	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Homo sapiens GN=GNG5 PE=1 SV=3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P67936-2	Isoform 2 of Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	125	NA
P68871	Hemoglobin subunit beta OS=Homo sapiens GN=HBB PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	31	NA
P78364	Polyhomeotic-like protein 1 OS=Homo sapiens GN=PHC1 PE=1 SV=3	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P78537	Biogenesis of lysosome-related organelles complex 1 subunit 1 OS=Homo sapiens GN=BLOC1S1 PE=1 SV=2	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P86397	Hydroxyacyl-thioester dehydratase type 2, mitochondrial OS=Homo sapiens GN=RPP14 PE=1 SV=1	Ctrl.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P00403	Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P01768	Ig heavy chain V-III region CAM OS=Homo sapiens PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P04004	Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P04217	Alpha-1B-glycoprotein OS=Homo sapiens GN=A1BG PE=1 SV=4	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P04844	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens GN=RPN2 PE=1 SV=3	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P05177-2	Isoform 2 of Cytochrome P450 1A2 OS=Homo sapiens GN=CYP1A2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P05997	Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=3	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P07099	Epoxide hydrolase 1 OS=Homo sapiens GN=EPHX1 PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P07357	Complement component C8 alpha chain OS=Homo sapiens GN=C8A PE=1 SV=2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P07951-2	Isoform 2 of Tropomyosin beta chain OS=Homo sapiens GN=TPM2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	88	NA
P08476	Inhibin beta A chain OS=Homo sapiens GN=INHBA PE=1 SV=2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P09914	Interferon-induced protein with tetratricopeptide repeats 1 OS=Homo sapiens GN=IFIT1 PE=1 SV=2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P0C869-4	Isoform 4 of Cytosolic phospholipase A2 beta OS=Homo sapiens GN=PLA2G4B	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA
P0CB44	Putative spindle and kinetochore-associated protein 2-like OS=Homo sapiens GN=SKA2L PE=5 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P10243	Myb-related protein A OS=Homo sapiens GN=MYBL1 PE=1 SV=2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P10586	Receptor-type tyrosine-protein phosphatase F OS=Homo sapiens GN=PTPRF PE=1 SV=2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P11047	Laminin subunit gamma-1 OS=Homo sapiens GN=LAMC1 PE=1 SV=3	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P11169	Solute carrier family 2, facilitated glucose transporter member 3 OS=Homo sapiens GN=SLC2A3 PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P12755	Ski oncogene OS=Homo sapiens GN=SKI PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	5	NA
P12882	Myosin-1 OS=Homo sapiens GN=MYH1 PE=1 SV=3	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	8	NA
P14136-2	Isoform 2 of Glial fibrillary acidic protein OS=Homo sapiens GN=GFAP	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	19	NA
P16455	Methylated-DNA--protein-cysteine methyltransferase OS=Homo sapiens GN=MGMT PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P16860	Natriuretic peptides B OS=Homo sapiens GN=NPPB PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
P17098	Zinc finger protein 8 OS=Homo sapiens GN=ZNF8 PE=1 SV=2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA
P17931	Galectin-3 OS=Homo sapiens GN=LGALS3 PE=1 SV=5	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P18084	Integrin beta-5 OS=Homo sapiens GN=ITGB5 PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P18825	Alpha-2C adrenergic receptor OS=Homo sapiens GN=ADRA2C PE=2 SV=2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P19012	Keratin, type I cytoskeletal 15 OS=Homo sapiens GN=KRT15 PE=1 SV=3	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	41	NA
P20333	Tumor necrosis factor receptor superfamily member 1B OS=Homo sapiens GN=TNFRSF1B PE=1 SV=3	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P20809	Interleukin-11 OS=Homo sapiens GN=IL11 PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P22105	Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P23467-3	Isoform 3 of Receptor-type tyrosine-protein phosphatase beta OS=Homo sapiens GN=PTPRB	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P24043	Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P24278	Zinc finger and BTB domain-containing protein 25 OS=Homo sapiens GN=ZBTB25 PE=1 SV=2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA
P24394	Interleukin-4 receptor subunit alpha OS=Homo sapiens GN=IL4R PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
P26447	Protein S100-A4 OS=Homo sapiens GN=S100A4 PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA
P30531	Sodium- and chloride-dependent GABA transporter 1 OS=Homo sapiens GN=SLC6A1 PE=1 SV=2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P31645	Sodium-dependent serotonin transporter OS=Homo sapiens GN=SLC6A4 PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P35555	Fibrillin-1 OS=Homo sapiens GN=FBN1 PE=1 SV=3	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA
P35749-2	Isoform 2 of Myosin-11 OS=Homo sapiens GN=MYH11	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	94	NA
P36268	Gamma-glutamyltranspeptidase 2 OS=Homo sapiens GN=GGT2 PE=1 SV=3	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P36952	Serpin B5 OS=Homo sapiens GN=SERPINB5 PE=1 SV=2	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P39900	Macrophage metalloelastase OS=Homo sapiens GN=MMP12 PE=1 SV=1	Treatment.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
