"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Found in Sample: [S1] F1: 126, Control, drug"	"Found in Sample: [S2] F1: 127N, Sample, drug"	"Found in Sample: [S3] F1: 127C, Sample, drug"	"Found in Sample: [S4] F1: 128N, Sample, drug"	"Found in Sample: [S5] F1: 128C, Sample, drug"	"Found in Sample: [S6] F1: 129N, Sample, drug"	"Found in Sample: [S7] F1: 129C, Sample, drug"	"Found in Sample: [S8] F1: 130N, Sample, drug"	"Found in Sample: [S9] F1: 130C, Sample, drug"	"Found in Sample: [S10] F1: 131, Sample, drug"	"Modifications"	"Area: 126, drug"	"Area: 127N, drug"	"Area: 127C, drug"	"Area: 128N, drug"	"Area: 128C, drug"	"Area: 129N, drug"	"Area: 129C, drug"	"Area: 130N, drug"	"Area: 130C, drug"	"Area: 131, drug"	"Abundance Ratio: (127N, drug) / (126, drug)"	"Abundance Ratio: (127C, drug) / (126, drug)"	"Abundance Ratio: (128N, drug) / (126, drug)"	"Abundance Ratio: (128C, drug) / (126, drug)"	"Abundance Ratio: (129N, drug) / (126, drug)"	"Abundance Ratio: (129C, drug) / (126, drug)"	"Abundance Ratio: (130N, drug) / (126, drug)"	"Abundance Ratio: (130C, drug) / (126, drug)"	"Abundance Ratio: (131, drug) / (126, drug)"	"Abundance: F1: 126, Control, drug"	"Abundance: F1: 127N, Sample, drug"	"Abundance: F1: 127C, Sample, drug"	"Abundance: F1: 128N, Sample, drug"	"Abundance: F1: 128C, Sample, drug"	"Abundance: F1: 129N, Sample, drug"	"Abundance: F1: 129C, Sample, drug"	"Abundance: F1: 130N, Sample, drug"	"Abundance: F1: 130C, Sample, drug"	"Abundance: F1: 131, Sample, drug"	"Abundances Count: F1: 126, Control, drug"	"Abundances Count: F1: 127N, Sample, drug"	"Abundances Count: F1: 127C, Sample, drug"	"Abundances Count: F1: 128N, Sample, drug"	"Abundances Count: F1: 128C, Sample, drug"	"Abundances Count: F1: 129N, Sample, drug"	"Abundances Count: F1: 129C, Sample, drug"	"Abundances Count: F1: 130N, Sample, drug"	"Abundances Count: F1: 130C, Sample, drug"	"Abundances Count: F1: 131, Sample, drug"	"emPAI"	"# Razor Peptides"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"P13639"	"Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4"	"0"	"600.683606331199"	"57.9254079254079"	"48"	"247"	"46"	"1"	"858"	"95.277"	"6.83"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.1e9"	"4.4e9"	"6.1e9"	"7.3e9"	"5.6e9"	"7.0e9"	"7.1e9"	"6.2e9"	"6.5e9"	"4.8e9"	"2.015"	"2.721"	"2.911"	"2.557"	"2.914"	"2.920"	"2.757"	"2.841"	"2.466"	"12607.9"	"25404.2"	"34304.3"	"36696.8"	"32233.6"	"36739.5"	"36814.1"	"34762.6"	"35816.9"	"31092.4"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"158.847"	"2"	"965.396068811417"	"48"
"False"	"High"	"IsMasterProtein"	"P07437"	"Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2"	"0"	"594.724213858691"	"71.1711711711712"	"28"	"344"	"4"	"1"	"444"	"49.639"	"4.89"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.8e8"	"4.1e8"	"5.9e8"	"5.0e8"	"3.6e8"	"4.9e8"	"4.8e8"	"4.9e8"	"4.7e8"	"3.8e8"	"2.172"	"2.471"	"2.702"	"2.373"	"2.574"	"2.658"	"2.371"	"2.491"	"2.180"	"2897.1"	"6291.7"	"7159.5"	"7828.1"	"6875.3"	"7456.7"	"7699.3"	"6870.2"	"7216.6"	"6315.3"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"49618.476"	"2"	"1298.82526040077"	"28"
"False"	"High"	"IsMasterProtein"	"Q14315"	"Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3"	"0"	"594.457741886047"	"34.9357798165138"	"79"	"159"	"69"	"1"	"2725"	"290.841"	"5.97"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.7e8"	"5.4e8"	"6.4e8"	"6.4e8"	"5.2e8"	"6.6e8"	"6.1e8"	"6.2e8"	"6.1e8"	"4.6e8"	"1.948"	"2.562"	"2.756"	"2.349"	"2.654"	"2.685"	"2.486"	"2.550"	"2.154"	"6953.0"	"13544.5"	"17814.7"	"19163.8"	"16334.4"	"18454.6"	"18669.1"	"17287.1"	"17733.0"	"14978.7"	"82"	"82"	"82"	"82"	"82"	"82"	"82"	"82"	"82"	"82"	"3.971"	"0"	"630.559304475784"	"79"
"False"	"High"	"IsMasterProtein"	"P49588"	"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2"	"0"	"559.761377317058"	"54.6487603305785"	"47"	"174"	"47"	"1"	"968"	"106.743"	"5.53"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"7.8e8"	"1.7e9"	"2.7e9"	"2.5e9"	"2.2e9"	"2.4e9"	"2.5e9"	"2.3e9"	"2.2e9"	"1.8e9"	"2.147"	"2.970"	"3.077"	"2.490"	"3.022"	"2.972"	"2.870"	"2.837"	"2.419"	"9123.1"	"19589.2"	"27091.1"	"28070.9"	"22718.6"	"27571.0"	"27109.8"	"26180.0"	"25884.0"	"22065.2"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"68.956"	"0"	"697.312901258469"	"47"
"False"	"High"	"IsMasterProtein"	"P0DMV9"	"Heat shock 70 kDa protein 1B OS=Homo sapiens GN=HSPA1B PE=1 SV=1"	"0"	"555.197317224358"	"61.3104524180967"	"32"	"242"	"13"	"1"	"641"	"70.009"	"5.66"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.2e8"	"2.8e8"	"4.8e8"	"4.7e8"	"4.5e8"	"4.4e8"	"4.6e8"	"4.4e8"	"4.5e8"	"4.1e8"	"2.025"	"3.069"	"3.164"	"2.667"	"2.997"	"2.957"	"2.735"	"2.833"	"2.505"	"7662.6"	"15518.2"	"23517.9"	"24242.5"	"20435.8"	"22962.5"	"22656.0"	"20954.7"	"21707.6"	"19195.1"	"44"	"44"	"44"	"44"	"44"	"44"	"44"	"44"	"44"	"44"	"334.982"	"21"	"943.971503973007"	"32"
"False"	"High"	"IsMasterProtein"	"P78371"	"T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4"	"0"	"555.044049037546"	"69.1588785046729"	"31"	"132"	"31"	"1"	"535"	"57.452"	"6.46"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"3.7e8"	"7.8e8"	"1.0e9"	"1.0e9"	"9.2e8"	"9.9e8"	"1.0e9"	"9.6e8"	"9.7e8"	"8.8e8"	"1.968"	"2.668"	"2.820"	"2.384"	"2.774"	"2.764"	"2.608"	"2.640"	"2.297"	"6606.1"	"13003.7"	"17622.7"	"18631.3"	"15746.7"	"18325.7"	"18257.2"	"17228.7"	"17441.8"	"15173.2"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"201.095"	"0"	"615.916602134705"	"31"
"False"	"High"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1"	"0"	"536.481836451816"	"71.4666666666667"	"23"	"491"	"9"	"1"	"375"	"41.71"	"5.48"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.2e9"	"3.5e9"	"2.5e9"	"2.5e9"	"2.0e9"	"2.5e9"	"2.4e9"	"2.5e9"	"2.1e9"	"1.6e9"	"1.981"	"2.519"	"2.595"	"2.121"	"2.577"	"2.459"	"2.420"	"2.414"	"2.060"	"21757.6"	"43101.8"	"54800.0"	"56470.7"	"46139.2"	"56077.9"	"53503.2"	"52657.1"	"52517.8"	"44820.4"	"50"	"50"	"50"	"50"	"50"	"50"	"50"	"50"	"50"	"50"	"12215.773"	"26"	"2123.89926552773"	"23"
"False"	"High"	"IsMasterProtein"	"P13796"	"Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6"	"0"	"526.711570508226"	"54.3859649122807"	"30"	"205"	"25"	"1"	"627"	"70.244"	"5.43"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"4.5e8"	"6.5e8"	"8.3e8"	"1.1e9"	"7.1e8"	"9.0e8"	"9.7e8"	"8.5e8"	"9.0e8"	"6.8e8"	"2.185"	"2.945"	"3.194"	"2.623"	"3.178"	"3.154"	"2.923"	"3.019"	"2.508"	"8734.8"	"19082.3"	"25723.8"	"27901.7"	"22910.6"	"27757.8"	"27552.5"	"25530.0"	"26370.4"	"21904.6"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"162.789"	"9"	"709.903162240982"	"30"
"False"	"High"	"IsMasterProtein"	"P17987"	"T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1"	"0"	"523.59723681673"	"76.7985611510791"	"34"	"163"	"34"	"1"	"556"	"60.306"	"6.11"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"7.9e8"	"1.1e9"	"1.5e9"	"1.4e9"	"1.2e9"	"1.4e9"	"1.4e9"	"1.4e9"	"1.3e9"	"1.1e9"	"2.035"	"2.942"	"3.227"	"2.728"	"3.180"	"3.214"	"2.985"	"3.095"	"2.538"	"8339.6"	"16972.2"	"24534.9"	"26909.8"	"22752.8"	"26522.3"	"26805.3"	"24890.1"	"25808.1"	"21167.6"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"243.844"	"0"	"707.899183273315"	"34"
"False"	"High"	"IsMasterProtein"	"P04406"	"Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3"	"0"	"515.518681618057"	"66.2686567164179"	"22"	"329"	"22"	"1"	"335"	"36.03"	"8.46"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.9e9"	"4.5e9"	"6.5e9"	"6.5e9"	"5.5e9"	"6.5e9"	"6.1e9"	"5.9e9"	"6.2e9"	"5.4e9"	"1.723"	"2.273"	"2.533"	"2.178"	"2.419"	"2.488"	"2.273"	"2.348"	"2.029"	"16749.3"	"28863.7"	"38068.1"	"42432.0"	"36475.3"	"40509.9"	"41673.7"	"38068.1"	"39320.2"	"33979.0"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"17300.957"	"0"	"1231.76236987114"	"22"
"False"	"High"	"IsMasterProtein"	"P14618"	"Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4"	"0"	"500.810956932799"	"67.984934086629"	"35"	"159"	"5"	"1"	"531"	"57.9"	"7.84"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.6e8"	"3.2e8"	"5.2e8"	"5.6e8"	"4.8e8"	"5.3e8"	"5.3e8"	"5.5e8"	"5.3e8"	"4.1e8"	"1.798"	"2.549"	"2.701"	"2.322"	"2.656"	"2.675"	"2.484"	"2.596"	"2.086"	"9410.9"	"16920.8"	"23991.1"	"25419.9"	"21848.6"	"24999.2"	"25176.2"	"23375.1"	"24433.5"	"19634.6"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"223.57"	"46"	"690.645505428314"	"35"
"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4"	"0"	"497.368706788272"	"32.7551020408163"	"56"	"110"	"42"	"1"	"1960"	"226.392"	"5.6"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.2e8"	"2.2e8"	"2.7e8"	"2.3e8"	"1.8e8"	"2.1e8"	"1.9e8"	"2.1e8"	"1.9e8"	"1.9e8"	"2.312"	"3.860"	"3.827"	"3.078"	"3.467"	"3.354"	"3.177"	"3.220"	"2.838"	"4932.6"	"11405.9"	"19040.3"	"18879.1"	"15181.4"	"17099.4"	"16542.2"	"15672.9"	"15883.3"	"13998.2"	"70"	"70"	"70"	"70"	"70"	"70"	"70"	"70"	"70"	"70"	"4.259"	"15"	"449.445157527924"	"56"
"False"	"High"	"IsMasterProtein"	"P38646"	"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2"	"0"	"496.740865389356"	"55.9646539027982"	"37"	"200"	"36"	"1"	"679"	"73.635"	"6.16"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"9.6e8"	"2.0e9"	"2.4e9"	"2.1e9"	"1.7e9"	"2.3e9"	"2.1e9"	"2.1e9"	"2.0e9"	"1.6e9"	"1.858"	"2.400"	"2.583"	"2.225"	"2.510"	"2.540"	"2.331"	"2.411"	"2.059"	"11333.4"	"21053.6"	"27203.0"	"29273.4"	"25221.4"	"28444.7"	"28786.0"	"26421.8"	"27321.0"	"23335.7"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"104.372"	"0"	"826.654178142548"	"37"
"False"	"High"	"IsMasterProtein"	"P50991"	"T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4"	"0"	"495.272273945377"	"62.708719851577"	"28"	"139"	"27"	"1"	"539"	"57.888"	"7.83"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.5e8"	"4.9e8"	"7.2e8"	"7.5e8"	"5.8e8"	"7.4e8"	"7.2e8"	"6.8e8"	"7.3e8"	"5.5e8"	"1.815"	"2.660"	"2.805"	"2.395"	"2.795"	"2.791"	"2.651"	"2.703"	"2.207"	"7020.8"	"12739.8"	"18676.5"	"19696.8"	"16813.4"	"19621.9"	"19591.7"	"18612.5"	"18974.6"	"15496.4"	"52"	"52"	"52"	"52"	"52"	"52"	"52"	"52"	"52"	"52"	"99"	"0"	"618.818897008896"	"28"
"False"	"High"	"IsMasterProtein"	"P04350"	"Tubulin beta-4A chain OS=Homo sapiens GN=TUBB4A PE=1 SV=2"	"0"	"472.102246618553"	"67.1171171171171"	"25"	"252"	"2"	"1"	"444"	"49.554"	"4.88"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.9e6"	"4.8e6"	"4.0e6"	"4.7e6"	"3.7e6"	"4.3e6"	"4.5e6"	"3.7e6"	"4.1e6"	"3.7e6"	"1.678"	"1.896"	"1.885"	"1.598"	"1.889"	"1.858"	"1.851"	"1.814"	"1.420"	"197.5"	"331.5"	"374.5"	"372.3"	"315.7"	"373.1"	"366.9"	"365.5"	"358.2"	"280.4"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3323.598"	"2"	"904.462958574295"	"25"
"False"	"High"	"IsMasterProtein"	"P04075-2"	"Isoform 2 of Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA"	"0"	"471.095473635336"	"63.3971291866029"	"24"	"281"	"19"	"1"	"418"	"45.232"	"8.25"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.9e9"	"4.4e9"	"5.2e9"	"5.1e9"	"4.0e9"	"4.2e9"	"5.0e9"	"5.5e9"	"5.0e9"	"4.1e9"	"1.849"	"2.488"	"2.722"	"2.470"	"2.676"	"2.785"	"2.494"	"2.656"	"2.248"	"8698.7"	"16082.8"	"21644.2"	"23674.9"	"21484.7"	"23278.7"	"24223.4"	"21693.2"	"23103.8"	"19556.4"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"1332.521"	"6"	"1104.23021388054"	"24"
